onet_soc_code,spe_ocupacion,similarity_score
11-9013.00,Administradores de Explotación Acuícola y Jefes de Laboratorio de Cultivo o Producción Acuícola,0.4728142551077711
11-9021.00,Gerentes de Construcción,0.5263295190380377
11-9021.00,"Maestros Generales de Obra y Supervisores de Construcción, Instalación y Reparación",0.515582642828497
11-9021.00,Ingenieros en Construcción y Obras Civiles,0.4939604570754309
11-9031.00,Auxiliares del Cuidado de Niños,0.547007764548462
11-9031.00,Profesores de Preescolar,0.5224776509084644
11-9031.00,Asistentes Administrativos,0.49731249701891334
11-9032.00,Directores y Administradores de Educación Básica y Media,0.5726951145784779
11-9032.00,Auxiliares Administrativos,0.5722114685265461
11-9032.00,Asistentes Administrativos,0.5676645237300337
11-9033.00,Administradores de Educación Superior y Formación para el Trabajo,0.5189835796967347
11-9033.00,Gerentes de Programas de Política Educativa,0.496120418547092
11-9033.00,Asistentes Administrativos,0.4834177883326263
11-9039.00,Directores y Administradores de Educación Básica y Media,0.5383636433113086
11-9039.00,Gerentes de Otros Servicios Administrativos,0.5334174690664206
11-9039.00,Asistentes Administrativos,0.5111476948408148
11-9041.00,Gerentes de Ingeniería,0.5241187958540977
11-9041.00,Ingenieros en Construcción y Obras Civiles,0.5153412852953914
11-9041.00,Arquitectos,0.49892708351845355
11-9041.01,Gerentes de Programas de Política de Desarrollo Económico,0.5218190500802735
11-9041.01,Gerentes de Investigación y Desarrollo en Ciencias Naturales y Aplicadas,0.5122217223007
11-9041.01,"Gerentes de Producción Agrícola, Pecuaria, Acuícola y Pesquero",0.46646660001508555
11-9051.00,Gerentes de Restaurantes y Servicios de Alimentos,0.6028512228261235
11-9051.00,Ayudantes de establecimientos de alimentos y bebidas,0.5743139446524844
11-9051.00,Directores de Planta de Procesamiento de Alimentos y Bebidas,0.5545466202068094
11-9071.00,Operadores de Planta de Gas,0.47771146685337923
11-9071.00,Operadores de Juegos Mecánicos y de Salón,0.45716730629842794
11-9071.00,"Gerentes de Biblioteca, Museo y Galería de Arte",0.448062878669235
11-9072.00,Recreadores,0.4884420321022229
11-9072.00,Directores de Programas de Esparcimiento y Administradores de Deportes,0.466562298223736
11-9072.00,"Gerentes de Biblioteca, Museo y Galería de Arte",0.462898537916444
11-9081.00,Supervisores de servicios de Alojamiento y Hospedaje,0.5686283936393114
11-9081.00,Empleados de Recepción Hotelera,0.5006591879348014
11-9081.00,Gerentes de Servicios Hoteleros,0.4762031276742217
11-9111.00,Gerentes de Servicios a la Salud,0.6087262051351385
11-9111.00,Gerentes de Servicios de Correo y Mensajería,0.519334059782013
11-9111.00,Gerentes de Programas de Política Social y de Salud,0.5186482149764042
11-9121.00,Gerentes de Investigación y Desarrollo en Ciencias Naturales y Aplicadas,0.5898193144670447
11-9121.00,"Investigadores, Consultores y Funcionarios de Políticas de Ciencias Naturales y Aplicadas",0.4682483985544167
11-9121.00,"Gerentes de Seguros, Bienes Raíces y Corretaje Financiero",0.4388159885226336
11-9121.01,Auxiliares de Laboratorio Clínico,0.427414219035056
11-9121.01,Curadores y Supervisores Musicales,0.3941890825161256
11-9121.01,Auxiliares de Laboratorio,0.3821077475384528
11-9121.02,Representante de servicios especializados,0.5112135175359989
11-9121.02,Gerentes de Programas de Política Social y de Salud,0.495943716535833
11-9121.02,Gerentes de Programas de Política de Desarrollo Económico,0.46114616963162885
11-9131.00,Gerentes de Servicios de Correo y Mensajería,0.567500838465896
11-9131.00,Supervisores de Empleados de Correo y Mensajería,0.5441941433439857
11-9131.00,Auxiliares de Correo y Servicio Postal,0.5390108485428551
11-9141.00,Administradores de Propiedad Horizontal,0.4479346607604031
11-9141.00,"Gerentes de Seguros, Bienes Raíces y Corretaje Financiero",0.4336984141732004
11-9141.00,Gerentes de Servicios de Correo y Mensajería,0.4212205621465386
11-9151.00,"Gerentes de Servicios Social, Comunitario y Correccional",0.5830642865252622
11-9151.00,Gerentes de Programas de Política Social y de Salud,0.5258635046915303
11-9151.00,Asistentes en Servicios Social y Comunitario,0.5153620515742605
11-9161.00,Profesionales en Gestión de Riesgo de Desastres,0.45965479774953877
11-9161.00,Directores de Planta de Procesamiento de Alimentos y Bebidas,0.39591011088385175
11-9161.00,Directores de Programas de Esparcimiento y Administradores de Deportes,0.3839494281754733
11-9171.00,Coordinadores De Servicios Funerarios,0.592585670154569
11-9171.00,Auxiliares de Servicios Funerarios,0.5144110638981617
11-9171.00,Operarios de Cementerios,0.4614568126446521
11-9179.00,Gerentes de Otros Servicios Administrativos,0.5556876478465697
11-9179.00,Gerentes de Otros Servicios,0.5490854313946754
11-9179.00,Gerentes de Otros Servicios a las Empresas,0.5454000490695209
11-9179.01,Directores de Programas de Esparcimiento y Administradores de Deportes,0.5104128933426737
11-9179.01,Coordinadores De Servicios Funerarios,0.4782661166060144
11-9179.01,Gerentes de Programas de Política Social y de Salud,0.47102502408960456
11-9179.02,Directores de Programas de Esparcimiento y Administradores de Deportes,0.5040679338007311
11-9179.02,"Gerentes de Biblioteca, Museo y Galería de Arte",0.48204907314704026
11-9179.02,Gerentes de Restaurantes y Servicios de Alimentos,0.46603348637782765
11-9199.00,Gerentes de Otros Servicios,0.5038017386432717
11-9199.00,Gerentes de Otros Servicios a las Empresas,0.49068789602051055
11-9199.00,Gerentes de Otros Servicios Administrativos,0.4794028976867861
11-9199.01,Funcionarios de Regulación,0.5159762981214081
11-9199.01,Directores de Planta de Procesamiento de Alimentos y Bebidas,0.48675623154547837
11-9199.01,Supervisores de Producción Pecuaria,0.47680876416803386
11-9199.02,Gerentes de Empresas de Telecomunicaciones,0.4455459395841749
11-9199.02,Funcionarios de Regulación,0.4453689195590666
11-9199.02,Gerentes de Servicios de Correo y Mensajería,0.4419729683027115
11-9199.08,"Gerentes de Seguros, Bienes Raíces y Corretaje Financiero",0.4421802271038093
11-9199.08,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.4364653903584778
11-9199.08,Directores de Planta de Procesamiento de Alimentos y Bebidas,0.42141697144974444
11-9199.09,Operadores de Planta de Gas,0.492266438317702
11-9199.09,Gerentes de Operación de Instalaciones Físicas,0.49037655367648203
11-9199.09,Operadores de Plantas de Generación y Distribución de Energía,0.4759876105725795
11-9199.10,Gerentes de Programas de Política de Desarrollo Económico,0.46698438477569654
11-9199.10,Gerentes de Investigación y Desarrollo en Ciencias Naturales y Aplicadas,0.42499697049593355
11-9199.10,Gerentes de Ingeniería,0.4220704811734546
11-9199.11,Urbanistas y Planificadores del Uso del Suelo,0.5197477250162693
11-9199.11,Asistentes en Saneamiento Ambiental,0.5017607677151673
11-9199.11,Agentes de Bienes Raíces,0.46600350521328315
13-1011.00,Agentes y Promotores Artísticos,0.6417922793568471
13-1011.00,"Productores, Directores Artísticos, Coreógrafos y Ocupaciones Relacionadas",0.5126623037880479
13-1011.00,Representante de servicios especializados,0.4833747426595152
13-1021.00,Obreros Agropecuarios,0.5664878703398489
13-1021.00,Agentes de Compras e Intermediarios,0.5458080858066614
13-1021.00,Agentes de Bienes Raíces,0.49997526600348297
13-1022.00,Auxiliares de Compras e Inventarios,0.5010584609346689
13-1022.00,Asistentes de compras,0.4395323162677999
13-1022.00,Vendedores de Mostrador,0.4045526911560356
13-1023.00,Auxiliares de Compras e Inventarios,0.5533504939209778
13-1023.00,Gerentes de Compras y Adquisiciones,0.5197876778845907
13-1023.00,Agentes de Compras e Intermediarios,0.5143868892752017
13-1031.00,"Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros",0.6098119583055791
13-1031.00,"Contratistas y Supervisores de Ajustadores de Máquinas y Herramientas, y de Ocupaciones Relacionadas",0.4361026036289437
13-1031.00,Ensambladores e Inspectores de Productos Mecánicos,0.4321801714228414
