esco_uri,spe_ocupacion,similarity_score
http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,Perforadores y Operarios de Voladura para Minería de Superficie de Canteras y Construcción,0.45947358991178316
http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,Obreros y Ayudantes de Minería,0.4539254041614187
http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,"Inspectores de Control de Calidad, Procesamiento de Alimentos y Bebidas",0.5480353880767711
http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,Supervisores de Servicios de Alimentos,0.5400599376831174
http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,Obreros y Ayudantes en la Elaboración de Alimentos y Bebidas,0.5262398931690058
http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,Operadores de Maquinaria Agrícola,0.6246381811811559
http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,Mecánicos de Vehículos Automotores,0.5507594538238175
http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,Gerentes de Mantenimiento,0.5282812483786902
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,"Conductores de Bus, Operadores de Metro y Otros Medios de Transporte Colectivo",0.6122963024570238
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,Conductores de Transporte de Alimentos,0.4846860258479091
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,Conductores de Vehículos Livianos,0.42602677212796397
http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,Gerentes de Comercio Exterior,0.4664282651713406
http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,Directores de Planta de Procesamiento de Alimentos y Bebidas,0.4404152000507963
http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,Directores de Programas de Esparcimiento y Administradores de Deportes,0.42321689489252906
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,Gerentes de Programas de Política de Desarrollo Económico,0.4047914958372468
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,Gerentes de Programas de Política Social y de Salud,0.3976540592606524
http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,"Consultores, Investigadores y Analistas de Política Económica",0.3798079106202157
http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,Gerentes de Restaurantes y Servicios de Alimentos,0.5364018320342064
http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,Chefs,0.5244023622966003
http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,Jefe de Laboratorio de Alimentos,0.5215637003159468
http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,Operadores de Máquinas para la Preparación de Fibras Textiles,0.7425538651920385
http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,Operadores de Telares y Otras Máquinas Tejedoras,0.6162627069775242
http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,"Operadores de Máquinas de Tintura, Acabado Textil y Prendas",0.6050139206971763
http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,Directores y Administradores de Educación Básica y Media,0.4864518161605209
http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,Administradores de Educación Superior y Formación para el Trabajo,0.4636437858626643
http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,Profesores de Educación Superior,0.46174518128961617
http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,Gerentes de Operación de Instalaciones Físicas,0.5552822212985394
http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,Supervisores de Fabricación de Productos Eléctricos,0.553580683128285
http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,Supervisores de Producción Pecuaria,0.5300727772798092
http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,Ensambladores e Inspectores de Aparatos y Equipo Eléctrico,0.4714795369024868
http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,Ingenieros Industriales y de Fabricación,0.45802057418955633
http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,Ingenieros de Automatización e Instrumentación,0.4411887908659556
