uri,nombre,nombres_alternativos,nombres_ocultos,codigo_isco,codigo_nace,definicion,nota_profesion_regulada,nota_alcance,esquema
http://data.europa.eu/esco/occupation/7c64479f-7a76-49e9-ac42-bd925f2bf99d,operador de sala de control de minería/operadora de sala de control de minería,"operador de sala de control central (minas)
operadora de sala de control de minería
operadora de sala de control minera
operador de sala de control de minería
operador de sala de control minera
operadora de sala de control central (minas)",,8131,http://data.europa.eu/ux2/nace2.1/09,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7c6fc2f0-6e16-4429-8190-f6faac0c3853,guantero/guantera,"guantero
guantera
fabricante de guantes",,7533,http://data.europa.eu/ux2/nace2.1/1429,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7cb71c5f-c310-481c-b46b-d0044328758c,operario de limpieza de vehículos/operaria de limpieza de vehículos,"operario de limpieza de vehículos
operaria de limpieza de vehículos",,9122,http://data.europa.eu/ux2/nace2.1/8123,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7cd070f5-b5dd-4228-bdcf-0419dbacfcf4,molinero de destilería/molinera de destilería,"operario de molino de destilería
responsable de molino de destilería
operaria de molino de destilería
encargado de molino de destilería
encargada de molino de destilería",,8160,http://data.europa.eu/ux2/nace2.1/1101,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7cdeb653-8f3d-4921-832b-b95f9d700a86,operador de sistemas de transmisión eléctrica/operadora de sistemas de transmisión eléctrica,"técnico de sistemas de transmisión eléctrica
operaria de central eléctrica
montadora de estructuras cableadas
operador de sistema eléctrico
operario de central eléctrica
operadora de sistemas de transmisión eléctrica
técnica de sistemas de transmisión eléctrica
operador de sistemas de transmisión eléctrica
empalmadora de cables
montador de estructuras cableadas",,3131,http://data.europa.eu/ux2/nace2.1/3513,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7ceb2340-339c-4367-bc4e-e08f57c992f6,trabajador de refugio de animales/trabajadora de refugio de animales,"trabajador de sociedad protectora de animales
trabajadora de sociedad protectora de animales
trabajador de refugio de animales
trabajadora de refugio de animales",,5164,http://data.europa.eu/ux2/nace2.1/9699,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7d092380-1c2e-48fe-81de-0d191b4e96d6,técnico en imagen para diagnóstico/técnica en imagen para diagnóstico,"técnica en radiología
técnico especializado en radiología diagnóstica
tecnólogo en radiología e imágenes diagnósticas
técnica especializada en radiología diagnóstica
tecnóloga en radiología e imágenes diagnósticas
radiografista
técnico en radiología
técnico en imagen para diagnóstico
técnico en radiología diagnóstica
técnica en radiología diagnóstica
técnica en radiodiagnóstico
técnica en imagen para diagnóstico
técnico en radiodiagnóstico",,2269,"http://data.europa.eu/ux2/nace2.1/861,
http://data.europa.eu/ux2/nace2.1/8691",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7d27600b-5cff-4ebc-b259-cc2d47572035,jefe de taller - artes escénicas/jefa de taller - artes escénicas,"jefe de taller - artes escénicas
jefa de taller - artes escénicas",,3435,http://data.europa.eu/ux2/nace2.1/9039,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7d4266b3-2108-4330-b27b-430a96012c21,operador de máquinas de coser/operadora de máquinas de coser,"operadora de máquinas industriales de coser y bordar
operador de máquinas de costura
operador de máquinas de coser
operadora de máquinas de coser
operadora de máquinas de costura
operador de máquinas industriales de coser y bordar",,8153,http://data.europa.eu/ux2/nace2.1/14,,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
http://data.europa.eu/esco/occupation/7d599049-d15a-4fda-afe9-b334b0614ec7,especialista de taller en turbomotores aeronáuticos,"mecánica de motores de aviación
mecánico de motores de aviación
técnico de mantenimiento de turbomotores aeronáuticos
técnico de mantenimiento de motores de aviación de turbina de gas
motorista aeronáutico de taller especialista en turbomotores
técnica de mantenimiento de motores de aviación de turbina de gas
técnica de mantenimiento de turbomotores aeronáuticos
técnico de reparación de turbomotores aeronáuticos
técnica de reparación de turbomotores aeronáuticos",,7232,"http://data.europa.eu/ux2/nace2.1/3318,
http://data.europa.eu/ux2/nace2.1/3316",,http://data.europa.eu/esco/regulated-professions/unregulated,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations"
