uri,nombre,definicion,tipo_habilidad,nivel_reutilizacion
http://data.europa.eu/esco/skill/05b70efb-6b80-4f04-9a25-67cd317daf37,CryEngine,"El motor de juego CryEngine, que es un marco de software que consta de entornos de desarrollo integrados y herramientas de diseño especializadas, diseñadas para la iteración rápida de juegos de ordenador derivados de usuarios.",knowledge,sector-specific
http://data.europa.eu/esco/skill/061f1c12-9811-46f7-ab3e-1d28367d6c73,utilizar programas de diseño asistido por ordenador para las suelas,"Digitalizar y escanear las hormas. Trabajar con archivos en diversos sistemas CAD. Elaborar modelos 3D de suelas y crear diseños en 2D asistidos por ordenador. Graduar y obtener la serie de tamaños. Preparar las especificaciones técnicas para la fabricación. Elaborar diseños de ingeniería y dibujos técnicos en 2D y 3D de los moldes para las suelas vulcanizadas e inyectadas. Exportar los archivos de los modelos virtuales a impresoras 3D, sistemas CAM o sistemas de CNC.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,crear entornos 3D,"Desarrollar una representación 3D generada por ordenador de un entorno a modo de entorno simulado, donde puedan interactuar los usuarios.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,realizar un análisis de datos en línea,"Analizar las experiencias en línea y los datos en línea con el fin de comprender el comportamiento de los usuarios, los disparadores de la atención en línea y otros factores que puedan optimizar el desarrollo y la visibilidad de la página web.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,gestionar los requisitos de seguridad de las TIC,"Guiar la aplicación y el cumplimiento de las normas pertinentes del sector, las mejores prácticas y los requisitos legales para la seguridad de la información.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,palabras clave en contenidos digitales,Herramientas digitales para realizar búsquedas de palabras clave. Los sistemas de recuperación de información identifican el contenido de un documento guiado por palabras clave y metadatos.,knowledge,sector-specific
http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,servicio de nombres de dominio,"Base de datos de nombres que asigna nombres de dominio de internet a direcciones IP (Protocolo de Internet). El sistema de nombres de dominio permite a los usuarios de internet utilizar nombres como títulos de sitios web en lugar de recordar las direcciones IP numéricas utilizadas por los ordenadores para localizar un sitio web concreto.
	",knowledge,sector-specific
http://data.europa.eu/esco/skill/071a4197-06b3-4226-b9a1-efd15913280a,construir modelos de productos sanitarios,"Construir modelos y simular productos sanitarios utilizando software de diseño técnico.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,utilizar mapa de experiencias,"Estudiar todas las interacciones y puntos de contacto que las personas tienen con un producto, marca o servicio. Determinar las variables clave, como la duración y la frecuencia de cada punto de contacto.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,programas informáticos de subtitulación,"Las distintas modalidades de software para crear leyendas y subtítulos en un archivo que se fusiona con el metraje real, como Telestream y MovieCaptioners.",knowledge,occupation-specific
http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,sistemas de firma de la cadena de bloque,"Sistemas esenciales de firma digital son el sistema RSA, el sistema El-Gamal, las funciones Hash, los ataques del cumpleaños y el estándar de firma digital.
	",knowledge,sector-specific
http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,normalizar datos,"Reducir los datos a su forma fundamental precisa (formularios normales) para lograr resultados como la minimización de la dependencia, la eliminación de la redundancia y el aumento de la coherencia.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,crear prototipos de soluciones de experiencia de usuario,"Diseñar y preparar maquetas, prototipos y flujos con el fin de someter a prueba soluciones de experiencia de usuario (UX) o recabar las opiniones de los usuarios, clientes, socios o partes interesadas.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,aplicar políticas organizativas del sistema,"Aplicar políticas internas relacionadas con el desarrollo y el uso interno y externo de sistemas tecnológicos, como sistemas de software, sistemas de redes y sistemas de telecomunicaciones, con el fin de alcanzar una serie de metas y objetivos en relación con la eficacia de las operaciones y el crecimiento de una organización.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,Proponer soluciones tecnológicas a problemas empresariales,"Sugerir cómo resolver problemas empresariales, utilizando los recursos de las TIC, de manera que se mejoren los procesos empresariales.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/07e6bc9f-9c98-44ae-a7a3-5266caa393e1,calcular el coste de las reparaciones,Calcular los costes de material y de mano de obra de las operaciones de reparación; comprender los programas informáticos pertinentes.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,software de gestión de inmuebles,"Características y el funcionamiento de un programa informático que permita la gestión de las operaciones diarias en las empresas de alojamiento para optimizar recursos y procesos como las reservas, las tarifas por habitación, el análisis de los datos de ingresos o la facturación.
	",knowledge,sector-specific
http://data.europa.eu/esco/skill/08236fee-c405-4f30-8858-f10d7d5c94b7,utilizar sistemas de integración de medios de comunicación,"Utilizar un sistema de integración de medios de comunicación para aplicaciones de artes escénicas y eventos durante la instalación, la configuración, los ensayos y las actuaciones en directo.
   ",skill/competence,occupation-specific
http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,simulación por ordenador,"Programa ejecutado en un ordenador que representa respuestas dinámicas de un sistema para explorar el comportamiento de un modelo matemático, utilizando un modelo de un sistema real, integrado por ecuaciones matemáticas.
	",knowledge,cross-sector
http://data.europa.eu/esco/skill/085bfce5-70fe-43da-9499-307725e89bbc,WizIQ,"El programa informático WizIQ es una plataforma de aprendizaje electrónico para crear, gestionar, organizar, informar y ofrecer cursos de educación en línea o programas de formación.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,administrar sistema TIC,"Gestionar los componentes de un sistema TIC manteniendo la configuración, gestionando a los usuarios, supervisando el uso de los recursos, realizando copias de seguridad e instalando equipos o programas informáticos para cumplir los requisitos establecidos.",skill/competence,sector-specific
