camara_comercio,ciiu2,empresas_activas
PASTO,77,144
PASTO,78,39
PASTO,79,266
PASTO,80,245
PASTO,81,223
PASTO,82,729
PASTO,84,42
PASTO,85,516
PASTO,86,853
PASTO,87,21
PASTO,88,20
PASTO,90,421
PASTO,91,14
PASTO,92,135
PASTO,93,557
PASTO,94,5829
PASTO,95,347
PASTO,96,1550
PASTO,97,5
PASTO,99,1997
PASTO,A0,18
PASTO,B0,1
PASTO,D1,14
PASTO,D2,15
PASTO,D3,4
PASTO,F4,49
PASTO,G5,239
PASTO,H5,32
PASTO,I6,21
PASTO,J6,3
PASTO,K7,36
PASTO,L7,2
PASTO,M8,5
PASTO,N8,12
PASTO,O9,19
PASTO,na,446
PEREIRA,01,838
PEREIRA,02,18
PEREIRA,03,19
PEREIRA,05,5
PEREIRA,07,15
PEREIRA,08,43
PEREIRA,09,5
PEREIRA,10,1254
PEREIRA,11,64
PEREIRA,12,1
PEREIRA,13,130
PEREIRA,14,696
PEREIRA,15,69
PEREIRA,16,142
PEREIRA,17,14
PEREIRA,18,162
PEREIRA,19,5
PEREIRA,20,84
PEREIRA,21,22
PEREIRA,22,50
PEREIRA,23,51
PEREIRA,24,31
PEREIRA,25,286
PEREIRA,26,20
PEREIRA,27,35
PEREIRA,28,63
PEREIRA,29,40
PEREIRA,30,14
PEREIRA,31,241
PEREIRA,32,250
PEREIRA,33,294
PEREIRA,35,70
PEREIRA,36,80
PEREIRA,37,6
PEREIRA,38,172
PEREIRA,39,22
PEREIRA,41,1009
PEREIRA,42,628
PEREIRA,43,923
PEREIRA,45,1993
PEREIRA,46,2267
PEREIRA,47,14527
PEREIRA,49,444
PEREIRA,50,2
PEREIRA,51,8
PEREIRA,52,444
PEREIRA,53,102
PEREIRA,55,675
PEREIRA,56,4784
PEREIRA,58,65
PEREIRA,59,64
PEREIRA,60,27
PEREIRA,61,322
PEREIRA,62,499
PEREIRA,63,157
PEREIRA,64,120
PEREIRA,65,65
PEREIRA,66,616
PEREIRA,68,1719
PEREIRA,69,556
PEREIRA,70,818
PEREIRA,71,638
PEREIRA,72,33
PEREIRA,73,698
PEREIRA,74,291
PEREIRA,75,101
PEREIRA,77,255
PEREIRA,78,64
PEREIRA,79,521
PEREIRA,80,85
PEREIRA,81,225
PEREIRA,82,905
PEREIRA,84,30
PEREIRA,85,445
PEREIRA,86,796
PEREIRA,87,50
PEREIRA,88,37
PEREIRA,90,229
PEREIRA,91,7
PEREIRA,92,162
PEREIRA,93,362
PEREIRA,94,4023
PEREIRA,95,566
PEREIRA,96,2108
PEREIRA,97,1
PEREIRA,99,3513
PEREIRA,Z9,13
PEREIRA,na,172
PIEDEMONTE ARAUCANO,01,479
PIEDEMONTE ARAUCANO,02,13
PIEDEMONTE ARAUCANO,03,45
PIEDEMONTE ARAUCANO,08,13
PIEDEMONTE ARAUCANO,09,4
PIEDEMONTE ARAUCANO,10,447
PIEDEMONTE ARAUCANO,11,24
PIEDEMONTE ARAUCANO,12,7
PIEDEMONTE ARAUCANO,13,13
PIEDEMONTE ARAUCANO,14,99
PIEDEMONTE ARAUCANO,15,13
PIEDEMONTE ARAUCANO,16,30
PIEDEMONTE ARAUCANO,17,2
PIEDEMONTE ARAUCANO,18,17
PIEDEMONTE ARAUCANO,20,15
PIEDEMONTE ARAUCANO,22,5
PIEDEMONTE ARAUCANO,23,20
PIEDEMONTE ARAUCANO,24,9
PIEDEMONTE ARAUCANO,25,100
PIEDEMONTE ARAUCANO,26,2
PIEDEMONTE ARAUCANO,27,2
PIEDEMONTE ARAUCANO,28,6
PIEDEMONTE ARAUCANO,29,4
PIEDEMONTE ARAUCANO,31,26
PIEDEMONTE ARAUCANO,32,23
PIEDEMONTE ARAUCANO,33,71
PIEDEMONTE ARAUCANO,35,14
PIEDEMONTE ARAUCANO,36,21
PIEDEMONTE ARAUCANO,37,3
PIEDEMONTE ARAUCANO,38,28
PIEDEMONTE ARAUCANO,39,13
PIEDEMONTE ARAUCANO,41,129
PIEDEMONTE ARAUCANO,42,233
PIEDEMONTE ARAUCANO,43,114
PIEDEMONTE ARAUCANO,45,542
PIEDEMONTE ARAUCANO,46,571
PIEDEMONTE ARAUCANO,47,2869
PIEDEMONTE ARAUCANO,49,216
PIEDEMONTE ARAUCANO,50,3
PIEDEMONTE ARAUCANO,51,1
PIEDEMONTE ARAUCANO,52,17
PIEDEMONTE ARAUCANO,53,28
PIEDEMONTE ARAUCANO,55,89
PIEDEMONTE ARAUCANO,56,816
PIEDEMONTE ARAUCANO,58,5
PIEDEMONTE ARAUCANO,59,6
PIEDEMONTE ARAUCANO,60,14
PIEDEMONTE ARAUCANO,61,88
PIEDEMONTE ARAUCANO,62,20
PIEDEMONTE ARAUCANO,63,6
PIEDEMONTE ARAUCANO,64,12
PIEDEMONTE ARAUCANO,65,6
PIEDEMONTE ARAUCANO,66,30
PIEDEMONTE ARAUCANO,68,22
PIEDEMONTE ARAUCANO,69,48
PIEDEMONTE ARAUCANO,70,60
PIEDEMONTE ARAUCANO,71,137
PIEDEMONTE ARAUCANO,72,14
PIEDEMONTE ARAUCANO,73,72
PIEDEMONTE ARAUCANO,74,50
PIEDEMONTE ARAUCANO,75,34
PIEDEMONTE ARAUCANO,77,47
PIEDEMONTE ARAUCANO,78,10
PIEDEMONTE ARAUCANO,79,26
PIEDEMONTE ARAUCANO,80,13
PIEDEMONTE ARAUCANO,81,19
PIEDEMONTE ARAUCANO,82,108
PIEDEMONTE ARAUCANO,84,17
PIEDEMONTE ARAUCANO,85,101
PIEDEMONTE ARAUCANO,86,132
PIEDEMONTE ARAUCANO,87,9
PIEDEMONTE ARAUCANO,88,27
PIEDEMONTE ARAUCANO,90,33
PIEDEMONTE ARAUCANO,91,3
PIEDEMONTE ARAUCANO,92,13
PIEDEMONTE ARAUCANO,93,95
PIEDEMONTE ARAUCANO,94,745
PIEDEMONTE ARAUCANO,95,77
PIEDEMONTE ARAUCANO,96,216
PIEDEMONTE ARAUCANO,99,323
PIEDEMONTE ARAUCANO,na,4
PUTUMAYO,01,663
PUTUMAYO,02,61
PUTUMAYO,03,83
PUTUMAYO,05,1
PUTUMAYO,06,2
PUTUMAYO,07,5
PUTUMAYO,08,55
PUTUMAYO,09,33
PUTUMAYO,10,447
PUTUMAYO,11,96
PUTUMAYO,12,12
PUTUMAYO,13,93
PUTUMAYO,14,164
PUTUMAYO,15,17
PUTUMAYO,16,158
PUTUMAYO,17,1
PUTUMAYO,18,55
PUTUMAYO,20,86
PUTUMAYO,21,6
PUTUMAYO,22,14
PUTUMAYO,23,66
PUTUMAYO,24,8
PUTUMAYO,25,217
PUTUMAYO,26,1
PUTUMAYO,27,9
PUTUMAYO,28,18
PUTUMAYO,29,5
PUTUMAYO,30,21
PUTUMAYO,31,91
PUTUMAYO,32,63
PUTUMAYO,33,184
PUTUMAYO,35,44
PUTUMAYO,36,52
PUTUMAYO,37,11
PUTUMAYO,38,99
PUTUMAYO,39,100
PUTUMAYO,41,200
PUTUMAYO,42,739
PUTUMAYO,43,320
PUTUMAYO,45,936
PUTUMAYO,46,1242
PUTUMAYO,47,7330
PUTUMAYO,49,448
PUTUMAYO,50,115
PUTUMAYO,51,18
PUTUMAYO,52,83
PUTUMAYO,53,76
PUTUMAYO,55,513
PUTUMAYO,56,2807
PUTUMAYO,58,22
PUTUMAYO,59,25
PUTUMAYO,60,39
PUTUMAYO,61,265
PUTUMAYO,62,60
PUTUMAYO,63,25
PUTUMAYO,64,97
PUTUMAYO,65,26
PUTUMAYO,66,61
PUTUMAYO,67,2
PUTUMAYO,68,163
PUTUMAYO,69,141
PUTUMAYO,70,248
PUTUMAYO,71,314
PUTUMAYO,72,36
PUTUMAYO,73,207
PUTUMAYO,74,144
PUTUMAYO,75,41
PUTUMAYO,77,123
PUTUMAYO,78,29
PUTUMAYO,79,163
PUTUMAYO,80,44
PUTUMAYO,81,62
PUTUMAYO,82,235
PUTUMAYO,84,81
PUTUMAYO,85,271
PUTUMAYO,86,464
PUTUMAYO,87,14
PUTUMAYO,88,29
PUTUMAYO,90,107
PUTUMAYO,91,12
PUTUMAYO,92,82
PUTUMAYO,93,313
PUTUMAYO,94,2361
PUTUMAYO,95,147
PUTUMAYO,96,683
PUTUMAYO,98,1
PUTUMAYO,99,1458
PUTUMAYO,A0,1
PUTUMAYO,G5,5
PUTUMAYO,K7,1
PUTUMAYO,O9,1
PUTUMAYO,na,35
SAN ANDRES,01,80
SAN ANDRES,02,4
SAN ANDRES,03,42
SAN ANDRES,08,3
SAN ANDRES,10,263
SAN ANDRES,11,36
SAN ANDRES,13,17
SAN ANDRES,14,54
SAN ANDRES,15,2
SAN ANDRES,16,25
SAN ANDRES,17,2
SAN ANDRES,18,19
SAN ANDRES,20,11
SAN ANDRES,22,3
SAN ANDRES,23,20
SAN ANDRES,24,3
SAN ANDRES,25,32
SAN ANDRES,26,3
SAN ANDRES,27,2
SAN ANDRES,28,4
SAN ANDRES,29,3
SAN ANDRES,30,7
SAN ANDRES,31,13
SAN ANDRES,32,31
SAN ANDRES,33,68
SAN ANDRES,35,17
SAN ANDRES,36,50
SAN ANDRES,37,6
SAN ANDRES,38,25
SAN ANDRES,39,10
SAN ANDRES,41,130
SAN ANDRES,42,57
SAN ANDRES,43,265
SAN ANDRES,45,258
SAN ANDRES,46,633
SAN ANDRES,47,2519
SAN ANDRES,49,124
SAN ANDRES,50,79
SAN ANDRES,51,11
SAN ANDRES,52,91
SAN ANDRES,53,30
SAN ANDRES,55,1005
SAN ANDRES,56,1046
SAN ANDRES,58,13
SAN ANDRES,59,77
SAN ANDRES,60,15
SAN ANDRES,61,51
SAN ANDRES,62,43
SAN ANDRES,63,14
SAN ANDRES,64,7
SAN ANDRES,65,30
SAN ANDRES,66,33
SAN ANDRES,68,233
SAN ANDRES,69,76
SAN ANDRES,70,112
SAN ANDRES,71,87
SAN ANDRES,72,19
SAN ANDRES,73,80
SAN ANDRES,74,67
SAN ANDRES,75,4
SAN ANDRES,77,184
SAN ANDRES,78,14
SAN ANDRES,79,485
SAN ANDRES,80,11
SAN ANDRES,81,59
SAN ANDRES,82,137
SAN ANDRES,84,187
SAN ANDRES,85,88
SAN ANDRES,86,122
SAN ANDRES,87,5
SAN ANDRES,88,8
SAN ANDRES,90,100
SAN ANDRES,91,14
SAN ANDRES,92,60
SAN ANDRES,93,106
SAN ANDRES,94,481
SAN ANDRES,95,36
SAN ANDRES,96,250
SAN ANDRES,98,1
SAN ANDRES,99,620
SAN ANDRES,na,5
SAN JOSE,01,201
SAN JOSE,02,16
SAN JOSE,03,17
SAN JOSE,07,1
SAN JOSE,08,13
SAN JOSE,09,1
SAN JOSE,10,207
SAN JOSE,11,14
SAN JOSE,13,11
SAN JOSE,14,37
SAN JOSE,15,3
SAN JOSE,16,32
SAN JOSE,18,14
SAN JOSE,19,1
SAN JOSE,20,15
SAN JOSE,21,1
SAN JOSE,22,2
SAN JOSE,23,20
SAN JOSE,24,6
SAN JOSE,25,59
SAN JOSE,27,1
SAN JOSE,28,2
SAN JOSE,30,8
SAN JOSE,31,23
SAN JOSE,32,11
SAN JOSE,33,39
SAN JOSE,35,6
SAN JOSE,36,8
SAN JOSE,37,4
SAN JOSE,38,25
SAN JOSE,39,6
SAN JOSE,41,78
SAN JOSE,42,124
SAN JOSE,43,110
SAN JOSE,45,302
SAN JOSE,46,439
SAN JOSE,47,2687
SAN JOSE,49,144
SAN JOSE,50,60
SAN JOSE,51,8
SAN JOSE,52,10
SAN JOSE,53,16
SAN JOSE,55,142
SAN JOSE,56,813
SAN JOSE,58,2
SAN JOSE,59,5
SAN JOSE,60,10
SAN JOSE,61,63
SAN JOSE,62,21
SAN JOSE,63,5
SAN JOSE,64,12
SAN JOSE,65,3
SAN JOSE,66,8
SAN JOSE,68,42
SAN JOSE,69,30
SAN JOSE,70,63
SAN JOSE,71,86
SAN JOSE,72,9
SAN JOSE,73,57
SAN JOSE,74,38
SAN JOSE,75,25
SAN JOSE,77,26
SAN JOSE,78,1
SAN JOSE,79,102
SAN JOSE,80,4
SAN JOSE,81,21
SAN JOSE,82,77
SAN JOSE,84,6
SAN JOSE,85,44
SAN JOSE,86,103
SAN JOSE,87,7
SAN JOSE,88,13
SAN JOSE,90,24
SAN JOSE,91,6
SAN JOSE,92,36
SAN JOSE,93,58
SAN JOSE,94,741
SAN JOSE,95,41
SAN JOSE,96,163
SAN JOSE,99,259
SAN JOSE,na,1
SANTA MARTA PARA EL MAGDALENA,01,2059
SANTA MARTA PARA EL MAGDALENA,02,46
SANTA MARTA PARA EL MAGDALENA,03,89
SANTA MARTA PARA EL MAGDALENA,05,6
SANTA MARTA PARA EL MAGDALENA,06,1
SANTA MARTA PARA EL MAGDALENA,07,18
SANTA MARTA PARA EL MAGDALENA,08,96
SANTA MARTA PARA EL MAGDALENA,09,21
SANTA MARTA PARA EL MAGDALENA,10,1256
SANTA MARTA PARA EL MAGDALENA,11,233
SANTA MARTA PARA EL MAGDALENA,13,144
SANTA MARTA PARA EL MAGDALENA,14,489
SANTA MARTA PARA EL MAGDALENA,15,41
SANTA MARTA PARA EL MAGDALENA,16,239
SANTA MARTA PARA EL MAGDALENA,17,12
SANTA MARTA PARA EL MAGDALENA,18,91
SANTA MARTA PARA EL MAGDALENA,19,5
SANTA MARTA PARA EL MAGDALENA,20,122
SANTA MARTA PARA EL MAGDALENA,21,14
SANTA MARTA PARA EL MAGDALENA,22,31
SANTA MARTA PARA EL MAGDALENA,23,138
SANTA MARTA PARA EL MAGDALENA,24,20
SANTA MARTA PARA EL MAGDALENA,25,427
SANTA MARTA PARA EL MAGDALENA,26,15
SANTA MARTA PARA EL MAGDALENA,27,26
SANTA MARTA PARA EL MAGDALENA,28,39
SANTA MARTA PARA EL MAGDALENA,29,22
SANTA MARTA PARA EL MAGDALENA,30,24
SANTA MARTA PARA EL MAGDALENA,31,146
SANTA MARTA PARA EL MAGDALENA,32,145
SANTA MARTA PARA EL MAGDALENA,33,613
SANTA MARTA PARA EL MAGDALENA,35,73
SANTA MARTA PARA EL MAGDALENA,36,162
SANTA MARTA PARA EL MAGDALENA,37,15
SANTA MARTA PARA EL MAGDALENA,38,231
SANTA MARTA PARA EL MAGDALENA,39,41
SANTA MARTA PARA EL MAGDALENA,41,1299
SANTA MARTA PARA EL MAGDALENA,42,1049
SANTA MARTA PARA EL MAGDALENA,43,1616
SANTA MARTA PARA EL MAGDALENA,45,2193
SANTA MARTA PARA EL MAGDALENA,46,3581
SANTA MARTA PARA EL MAGDALENA,47,17251
SANTA MARTA PARA EL MAGDALENA,49,1633
SANTA MARTA PARA EL MAGDALENA,50,113
SANTA MARTA PARA EL MAGDALENA,51,5
SANTA MARTA PARA EL MAGDALENA,52,453
SANTA MARTA PARA EL MAGDALENA,53,293
SANTA MARTA PARA EL MAGDALENA,55,2863
SANTA MARTA PARA EL MAGDALENA,56,6395
SANTA MARTA PARA EL MAGDALENA,58,83
SANTA MARTA PARA EL MAGDALENA,59,89
SANTA MARTA PARA EL MAGDALENA,60,53
SANTA MARTA PARA EL MAGDALENA,61,616
SANTA MARTA PARA EL MAGDALENA,62,325
SANTA MARTA PARA EL MAGDALENA,63,85
SANTA MARTA PARA EL MAGDALENA,64,156
SANTA MARTA PARA EL MAGDALENA,65,85
SANTA MARTA PARA EL MAGDALENA,66,463
SANTA MARTA PARA EL MAGDALENA,68,1486
SANTA MARTA PARA EL MAGDALENA,69,728
SANTA MARTA PARA EL MAGDALENA,70,931
SANTA MARTA PARA EL MAGDALENA,71,805
SANTA MARTA PARA EL MAGDALENA,72,52
SANTA MARTA PARA EL MAGDALENA,73,639
SANTA MARTA PARA EL MAGDALENA,74,447
SANTA MARTA PARA EL MAGDALENA,75,74
SANTA MARTA PARA EL MAGDALENA,77,504
SANTA MARTA PARA EL MAGDALENA,78,178
SANTA MARTA PARA EL MAGDALENA,79,1270
SANTA MARTA PARA EL MAGDALENA,80,124
SANTA MARTA PARA EL MAGDALENA,81,320
SANTA MARTA PARA EL MAGDALENA,82,1202
SANTA MARTA PARA EL MAGDALENA,84,67
SANTA MARTA PARA EL MAGDALENA,85,763
SANTA MARTA PARA EL MAGDALENA,86,1381
SANTA MARTA PARA EL MAGDALENA,87,24
SANTA MARTA PARA EL MAGDALENA,88,40
SANTA MARTA PARA EL MAGDALENA,90,328
SANTA MARTA PARA EL MAGDALENA,91,18
SANTA MARTA PARA EL MAGDALENA,92,205
SANTA MARTA PARA EL MAGDALENA,93,645
SANTA MARTA PARA EL MAGDALENA,94,7485
SANTA MARTA PARA EL MAGDALENA,95,424
SANTA MARTA PARA EL MAGDALENA,96,1273
SANTA MARTA PARA EL MAGDALENA,97,2
SANTA MARTA PARA EL MAGDALENA,98,1
SANTA MARTA PARA EL MAGDALENA,99,2566
SANTA MARTA PARA EL MAGDALENA,na,21
SANTA ROSA DE CABAL,01,73
SANTA ROSA DE CABAL,02,2
SANTA ROSA DE CABAL,03,3
SANTA ROSA DE CABAL,05,1
SANTA ROSA DE CABAL,07,1
SANTA ROSA DE CABAL,08,8
SANTA ROSA DE CABAL,09,2
SANTA ROSA DE CABAL,10,257
SANTA ROSA DE CABAL,11,5
SANTA ROSA DE CABAL,13,20
SANTA ROSA DE CABAL,14,46
SANTA ROSA DE CABAL,15,12
SANTA ROSA DE CABAL,16,25
SANTA ROSA DE CABAL,18,8
SANTA ROSA DE CABAL,20,18
SANTA ROSA DE CABAL,21,4
SANTA ROSA DE CABAL,22,7
SANTA ROSA DE CABAL,23,4
SANTA ROSA DE CABAL,24,9
SANTA ROSA DE CABAL,25,44
SANTA ROSA DE CABAL,26,1
SANTA ROSA DE CABAL,27,3
SANTA ROSA DE CABAL,28,4
SANTA ROSA DE CABAL,29,2
SANTA ROSA DE CABAL,31,39
SANTA ROSA DE CABAL,32,20
SANTA ROSA DE CABAL,33,18
SANTA ROSA DE CABAL,35,6
SANTA ROSA DE CABAL,36,10
SANTA ROSA DE CABAL,38,24
SANTA ROSA DE CABAL,39,4
SANTA ROSA DE CABAL,41,82
SANTA ROSA DE CABAL,42,35
SANTA ROSA DE CABAL,43,54
SANTA ROSA DE CABAL,45,158
SANTA ROSA DE CABAL,46,148
SANTA ROSA DE CABAL,47,1366
SANTA ROSA DE CABAL,49,25
SANTA ROSA DE CABAL,52,66
SANTA ROSA DE CABAL,53,13
SANTA ROSA DE CABAL,55,252
SANTA ROSA DE CABAL,56,564
SANTA ROSA DE CABAL,58,3
SANTA ROSA DE CABAL,59,7
SANTA ROSA DE CABAL,60,2
SANTA ROSA DE CABAL,61,19
SANTA ROSA DE CABAL,62,24
SANTA ROSA DE CABAL,63,7
SANTA ROSA DE CABAL,64,14
SANTA ROSA DE CABAL,65,3
SANTA ROSA DE CABAL,66,25
SANTA ROSA DE CABAL,68,77
SANTA ROSA DE CABAL,69,11
SANTA ROSA DE CABAL,70,33
SANTA ROSA DE CABAL,71,40
SANTA ROSA DE CABAL,72,5
SANTA ROSA DE CABAL,73,27
SANTA ROSA DE CABAL,74,18
SANTA ROSA DE CABAL,75,6
SANTA ROSA DE CABAL,77,26
SANTA ROSA DE CABAL,79,58
SANTA ROSA DE CABAL,80,7
SANTA ROSA DE CABAL,81,11
SANTA ROSA DE CABAL,82,54
SANTA ROSA DE CABAL,84,3
SANTA ROSA DE CABAL,85,29
SANTA ROSA DE CABAL,86,29
SANTA ROSA DE CABAL,87,8
SANTA ROSA DE CABAL,88,6
SANTA ROSA DE CABAL,90,15
SANTA ROSA DE CABAL,91,2
SANTA ROSA DE CABAL,92,13
SANTA ROSA DE CABAL,93,78
SANTA ROSA DE CABAL,94,249
SANTA ROSA DE CABAL,95,37
SANTA ROSA DE CABAL,96,169
SANTA ROSA DE CABAL,99,173
SEVILLA,01,142
SEVILLA,02,5
SEVILLA,03,2
SEVILLA,10,105
SEVILLA,11,4
SEVILLA,13,25
SEVILLA,14,35
SEVILLA,15,9
SEVILLA,16,9
SEVILLA,18,9
SEVILLA,20,8
SEVILLA,21,2
SEVILLA,22,3
SEVILLA,23,7
SEVILLA,24,2
SEVILLA,25,15
SEVILLA,28,2
SEVILLA,29,2
SEVILLA,30,1
SEVILLA,31,6
SEVILLA,32,17
SEVILLA,33,19
SEVILLA,35,4
SEVILLA,36,19
SEVILLA,37,2
SEVILLA,38,7
SEVILLA,39,3
SEVILLA,41,27
SEVILLA,42,11
SEVILLA,43,25
SEVILLA,45,117
SEVILLA,46,94
SEVILLA,47,1174
SEVILLA,49,31
SEVILLA,50,1
SEVILLA,52,23
SEVILLA,53,14
SEVILLA,55,47
SEVILLA,56,393
SEVILLA,58,5
SEVILLA,59,4
SEVILLA,60,3
SEVILLA,61,21
SEVILLA,62,11
SEVILLA,63,1
SEVILLA,64,4
SEVILLA,65,16
SEVILLA,66,33
SEVILLA,68,24
SEVILLA,69,12
SEVILLA,70,18
SEVILLA,71,20
SEVILLA,72,3
SEVILLA,73,19
SEVILLA,74,10
SEVILLA,75,4
SEVILLA,77,6
SEVILLA,78,4
SEVILLA,79,32
SEVILLA,80,6
SEVILLA,81,3
SEVILLA,82,41
SEVILLA,84,10
SEVILLA,85,19
SEVILLA,86,30
SEVILLA,87,7
SEVILLA,88,4
SEVILLA,90,22
SEVILLA,92,24
SEVILLA,93,47
SEVILLA,94,227
SEVILLA,95,27
SEVILLA,96,140
SEVILLA,99,160
SEVILLA,D3,1
SEVILLA,G5,2
SEVILLA,O9,1
SEVILLA,na,1
SINCELEJO,01,687
SINCELEJO,02,22
SINCELEJO,03,39
SINCELEJO,05,1
SINCELEJO,07,1
SINCELEJO,08,39
SINCELEJO,09,7
SINCELEJO,10,558
SINCELEJO,11,74
SINCELEJO,12,4
SINCELEJO,13,40
SINCELEJO,14,250
SINCELEJO,15,78
SINCELEJO,16,102
SINCELEJO,17,3
SINCELEJO,18,81
SINCELEJO,19,1
SINCELEJO,20,72
SINCELEJO,21,11
SINCELEJO,22,10
SINCELEJO,23,87
SINCELEJO,24,11
SINCELEJO,25,204
SINCELEJO,26,2
SINCELEJO,27,2
SINCELEJO,28,10
SINCELEJO,29,2
SINCELEJO,30,10
SINCELEJO,31,171
SINCELEJO,32,80
SINCELEJO,33,240
SINCELEJO,35,45
SINCELEJO,36,71
SINCELEJO,37,4
SINCELEJO,38,129
SINCELEJO,39,13
SINCELEJO,41,273
SINCELEJO,42,686
SINCELEJO,43,623
SINCELEJO,45,1037
SINCELEJO,46,1456
SINCELEJO,47,9417
SINCELEJO,49,402
SINCELEJO,50,30
SINCELEJO,51,6
SINCELEJO,52,116
SINCELEJO,53,105
SINCELEJO,55,925
SINCELEJO,56,2773
SINCELEJO,58,28
SINCELEJO,59,44
SINCELEJO,60,24
SINCELEJO,61,219
SINCELEJO,62,131
SINCELEJO,63,33
SINCELEJO,64,92
SINCELEJO,65,81
SINCELEJO,66,232
SINCELEJO,68,546
SINCELEJO,69,266
SINCELEJO,70,496
SINCELEJO,71,698
SINCELEJO,72,9
SINCELEJO,73,248
SINCELEJO,74,62
SINCELEJO,75,27
SINCELEJO,77,155
SINCELEJO,78,66
SINCELEJO,79,194
SINCELEJO,80,61
SINCELEJO,81,124
SINCELEJO,82,362
SINCELEJO,84,12
SINCELEJO,85,278
SINCELEJO,86,916
SINCELEJO,87,8
SINCELEJO,88,28
SINCELEJO,90,158
SINCELEJO,91,5
SINCELEJO,92,112
SINCELEJO,93,314
SINCELEJO,94,7855
SINCELEJO,95,156
SINCELEJO,96,505
SINCELEJO,99,952
SINCELEJO,na,111
SOACHA,01,11
SOACHA,10,165
SOACHA,11,3
SOACHA,13,11
SOACHA,14,79
SOACHA,15,6
SOACHA,16,22
SOACHA,17,1
SOACHA,18,12
SOACHA,20,18
SOACHA,22,5
SOACHA,23,3
SOACHA,24,6
SOACHA,25,17
SOACHA,28,3
SOACHA,29,5
SOACHA,30,1
SOACHA,31,28
SOACHA,32,20
SOACHA,33,19
SOACHA,36,1
SOACHA,38,33
SOACHA,39,2
SOACHA,41,8
SOACHA,42,16
SOACHA,43,55
SOACHA,45,140
SOACHA,46,82
SOACHA,47,1308
SOACHA,49,31
SOACHA,52,21
SOACHA,53,13
SOACHA,55,1
SOACHA,56,815
SOACHA,58,1
SOACHA,59,3
SOACHA,60,1
SOACHA,61,7
SOACHA,62,23
SOACHA,63,6
SOACHA,64,2
SOACHA,66,18
SOACHA,68,14
SOACHA,69,8
SOACHA,70,11
SOACHA,71,9
SOACHA,72,3
SOACHA,73,19
SOACHA,74,17
SOACHA,75,15
SOACHA,77,7
SOACHA,78,1
SOACHA,79,14
SOACHA,80,9
SOACHA,81,9
SOACHA,82,49
SOACHA,84,1
SOACHA,85,45
SOACHA,86,29
SOACHA,87,1
SOACHA,88,4
SOACHA,90,15
SOACHA,92,8
SOACHA,93,27
SOACHA,94,51
SOACHA,95,27
SOACHA,96,254
SOGAMOSO,01,241
SOGAMOSO,02,54
SOGAMOSO,03,20
SOGAMOSO,05,484
SOGAMOSO,07,10
SOGAMOSO,08,167
SOGAMOSO,09,24
SOGAMOSO,10,448
SOGAMOSO,11,40
SOGAMOSO,13,114
SOGAMOSO,14,150
SOGAMOSO,15,14
SOGAMOSO,16,79
SOGAMOSO,17,6
SOGAMOSO,18,20
SOGAMOSO,19,6
SOGAMOSO,20,53
SOGAMOSO,21,3
SOGAMOSO,22,26
SOGAMOSO,23,140
SOGAMOSO,24,38
SOGAMOSO,25,211
SOGAMOSO,26,2
SOGAMOSO,27,8
SOGAMOSO,28,17
SOGAMOSO,29,15
SOGAMOSO,30,2
SOGAMOSO,31,74
SOGAMOSO,32,81
SOGAMOSO,33,182
SOGAMOSO,35,15
SOGAMOSO,36,93
SOGAMOSO,38,91
SOGAMOSO,39,19
SOGAMOSO,41,246
SOGAMOSO,42,468
SOGAMOSO,43,230
SOGAMOSO,45,727
SOGAMOSO,46,931
SOGAMOSO,47,5505
SOGAMOSO,49,651
SOGAMOSO,50,11
SOGAMOSO,51,1
SOGAMOSO,52,145
SOGAMOSO,53,50
SOGAMOSO,55,324
SOGAMOSO,56,2260
SOGAMOSO,58,14
SOGAMOSO,59,14
SOGAMOSO,60,8
SOGAMOSO,61,147
SOGAMOSO,62,73
SOGAMOSO,63,10
SOGAMOSO,64,21
SOGAMOSO,65,84
SOGAMOSO,66,90
SOGAMOSO,68,108
SOGAMOSO,69,87
SOGAMOSO,70,196
SOGAMOSO,71,503
SOGAMOSO,72,17
SOGAMOSO,73,172
SOGAMOSO,74,79
SOGAMOSO,75,34
SOGAMOSO,77,75
SOGAMOSO,78,23
SOGAMOSO,79,137
SOGAMOSO,80,36
SOGAMOSO,81,87
SOGAMOSO,82,144
SOGAMOSO,84,14
SOGAMOSO,85,107
SOGAMOSO,86,220
SOGAMOSO,87,15
SOGAMOSO,88,10
SOGAMOSO,90,66
SOGAMOSO,91,1
SOGAMOSO,92,28
SOGAMOSO,93,159
SOGAMOSO,94,1259
SOGAMOSO,95,156
SOGAMOSO,96,476
SOGAMOSO,99,376
SOGAMOSO,na,16
SUR Y ORIENTE DEL TOLIMA,01,492
SUR Y ORIENTE DEL TOLIMA,02,16
SUR Y ORIENTE DEL TOLIMA,03,36
SUR Y ORIENTE DEL TOLIMA,05,3
SUR Y ORIENTE DEL TOLIMA,06,2
SUR Y ORIENTE DEL TOLIMA,07,11
SUR Y ORIENTE DEL TOLIMA,08,64
SUR Y ORIENTE DEL TOLIMA,09,7
SUR Y ORIENTE DEL TOLIMA,10,639
SUR Y ORIENTE DEL TOLIMA,11,73
SUR Y ORIENTE DEL TOLIMA,13,19
SUR Y ORIENTE DEL TOLIMA,14,115
SUR Y ORIENTE DEL TOLIMA,15,8
SUR Y ORIENTE DEL TOLIMA,16,50
SUR Y ORIENTE DEL TOLIMA,17,2
