programa,rango_ingreso,graduados,porcentaje
ACTIVIDAD FISICA Y DEPORTE,"Entre 1 y 1,5 SMMLV",51,41.46
ACTIVIDAD FISICA Y DEPORTE,"Entre 1,5 y 2,5 SMMLV",41,33.33
ACTIVIDAD FISICA Y DEPORTE,1 SMMLV,16,13.01
ACTIVIDAD FISICA Y DEPORTE,"Entre 2,5 y 4 SMMLV",10,8.13
ACTIVIDAD FISICA Y DEPORTE,Entre 4 y 6 SMMLV,5,4.07
ACUICULTURA,"Entre 1 y 1,5 SMMLV",56,33.73
ACUICULTURA,"Entre 1,5 y 2,5 SMMLV",49,29.52
ACUICULTURA,"Entre 2,5 y 4 SMMLV",25,15.06
ACUICULTURA,Entre 4 y 6 SMMLV,17,10.24
ACUICULTURA,1 SMMLV,13,7.83
ACUICULTURA,Entre 6 y 9 SMMLV,6,3.61
ADMINISTRACION,"Entre 1,5 y 2,5 SMMLV",45,23.94
ADMINISTRACION,"Entre 1 y 1,5 SMMLV",44,23.4
ADMINISTRACION,"Entre 2,5 y 4 SMMLV",39,20.74
ADMINISTRACION,Entre 4 y 6 SMMLV,24,12.77
ADMINISTRACION,Entre 6 y 9 SMMLV,13,6.91
ADMINISTRACION,Más de 9 SMMLV,13,6.91
ADMINISTRACION,1 SMMLV,10,5.32
ADMINISTRACION AGROINDUSTRIAL,"Entre 1 y 1,5 SMMLV",4,30.77
ADMINISTRACION AGROINDUSTRIAL,"Entre 1,5 y 2,5 SMMLV",3,23.08
ADMINISTRACION AGROINDUSTRIAL,"Entre 2,5 y 4 SMMLV",3,23.08
ADMINISTRACION AGROINDUSTRIAL,1 SMMLV,2,15.38
ADMINISTRACION AGROINDUSTRIAL,Entre 4 y 6 SMMLV,1,7.69
ADMINISTRACION AGROPECUARIA,"Entre 1 y 1,5 SMMLV",106,28.65
ADMINISTRACION AGROPECUARIA,"Entre 2,5 y 4 SMMLV",103,27.84
ADMINISTRACION AGROPECUARIA,"Entre 1,5 y 2,5 SMMLV",100,27.03
ADMINISTRACION AGROPECUARIA,1 SMMLV,30,8.11
ADMINISTRACION AGROPECUARIA,Entre 4 y 6 SMMLV,19,5.14
ADMINISTRACION AGROPECUARIA,Entre 6 y 9 SMMLV,10,2.7
ADMINISTRACION AGROPECUARIA,Más de 9 SMMLV,2,0.54
ADMINISTRACION AMBIENTAL,"Entre 1 y 1,5 SMMLV",381,29.63
ADMINISTRACION AMBIENTAL,"Entre 1,5 y 2,5 SMMLV",311,24.18
ADMINISTRACION AMBIENTAL,"Entre 2,5 y 4 SMMLV",262,20.37
ADMINISTRACION AMBIENTAL,Entre 4 y 6 SMMLV,126,9.8
ADMINISTRACION AMBIENTAL,1 SMMLV,122,9.49
ADMINISTRACION AMBIENTAL,Entre 6 y 9 SMMLV,55,4.28
ADMINISTRACION AMBIENTAL,Más de 9 SMMLV,29,2.26
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,"Entre 1,5 y 2,5 SMMLV",88,30.88
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,"Entre 2,5 y 4 SMMLV",65,22.81
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,"Entre 1 y 1,5 SMMLV",59,20.7
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,Entre 4 y 6 SMMLV,30,10.53
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,1 SMMLV,22,7.72
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,Entre 6 y 9 SMMLV,12,4.21
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,Más de 9 SMMLV,9,3.16
ADMINISTRACION COMERCIAL,"Entre 1,5 y 2,5 SMMLV",137,27.51
ADMINISTRACION COMERCIAL,"Entre 1 y 1,5 SMMLV",130,26.1
ADMINISTRACION COMERCIAL,"Entre 2,5 y 4 SMMLV",119,23.9
ADMINISTRACION COMERCIAL,Entre 4 y 6 SMMLV,45,9.04
ADMINISTRACION COMERCIAL,1 SMMLV,38,7.63
ADMINISTRACION COMERCIAL,Entre 6 y 9 SMMLV,18,3.61
ADMINISTRACION COMERCIAL,Más de 9 SMMLV,11,2.21
ADMINISTRACION COMERCIAL Y DE MERCADEO,"Entre 2,5 y 4 SMMLV",419,29.47
ADMINISTRACION COMERCIAL Y DE MERCADEO,"Entre 1,5 y 2,5 SMMLV",318,22.36
ADMINISTRACION COMERCIAL Y DE MERCADEO,"Entre 1 y 1,5 SMMLV",228,16.03
ADMINISTRACION COMERCIAL Y DE MERCADEO,Entre 4 y 6 SMMLV,201,14.14
ADMINISTRACION COMERCIAL Y DE MERCADEO,Entre 6 y 9 SMMLV,114,8.02
ADMINISTRACION COMERCIAL Y DE MERCADEO,Más de 9 SMMLV,72,5.06
ADMINISTRACION COMERCIAL Y DE MERCADEO,1 SMMLV,70,4.92
ADMINISTRACION COMERCIAL Y DE SISTEMAS,"Entre 1 y 1,5 SMMLV",77,33.77
ADMINISTRACION COMERCIAL Y DE SISTEMAS,"Entre 1,5 y 2,5 SMMLV",51,22.37
ADMINISTRACION COMERCIAL Y DE SISTEMAS,"Entre 2,5 y 4 SMMLV",47,20.61
ADMINISTRACION COMERCIAL Y DE SISTEMAS,Entre 4 y 6 SMMLV,29,12.72
ADMINISTRACION COMERCIAL Y DE SISTEMAS,1 SMMLV,16,7.02
ADMINISTRACION COMERCIAL Y DE SISTEMAS,Entre 6 y 9 SMMLV,8,3.51
ADMINISTRACION COMERCIAL Y FINANCIERA,"Entre 1,5 y 2,5 SMMLV",43,38.39
ADMINISTRACION COMERCIAL Y FINANCIERA,"Entre 1 y 1,5 SMMLV",37,33.04
ADMINISTRACION COMERCIAL Y FINANCIERA,"Entre 2,5 y 4 SMMLV",16,14.29
ADMINISTRACION COMERCIAL Y FINANCIERA,1 SMMLV,7,6.25
ADMINISTRACION COMERCIAL Y FINANCIERA,Entre 4 y 6 SMMLV,7,6.25
ADMINISTRACION COMERCIAL Y FINANCIERA,Entre 6 y 9 SMMLV,2,1.79
ADMINISTRACION DE AGRONEGOCIOS,"Entre 1,5 y 2,5 SMMLV",10,47.62
ADMINISTRACION DE AGRONEGOCIOS,"Entre 2,5 y 4 SMMLV",4,19.05
ADMINISTRACION DE AGRONEGOCIOS,1 SMMLV,3,14.29
ADMINISTRACION DE AGRONEGOCIOS,"Entre 1 y 1,5 SMMLV",2,9.52
ADMINISTRACION DE AGRONEGOCIOS,Entre 4 y 6 SMMLV,2,9.52
ADMINISTRACION DE COMERCIO EXTERIOR,"Entre 1 y 1,5 SMMLV",144,37.4
ADMINISTRACION DE COMERCIO EXTERIOR,"Entre 1,5 y 2,5 SMMLV",108,28.05
ADMINISTRACION DE COMERCIO EXTERIOR,"Entre 2,5 y 4 SMMLV",51,13.25
ADMINISTRACION DE COMERCIO EXTERIOR,1 SMMLV,34,8.83
ADMINISTRACION DE COMERCIO EXTERIOR,Entre 4 y 6 SMMLV,23,5.97
ADMINISTRACION DE COMERCIO EXTERIOR,Entre 6 y 9 SMMLV,13,3.38
ADMINISTRACION DE COMERCIO EXTERIOR,Más de 9 SMMLV,12,3.12
ADMINISTRACION DE CONSTRUCCIONES,"Entre 2,5 y 4 SMMLV",3,30.0
ADMINISTRACION DE CONSTRUCCIONES,"Entre 1 y 1,5 SMMLV",2,20.0
ADMINISTRACION DE CONSTRUCCIONES,"Entre 1,5 y 2,5 SMMLV",2,20.0
ADMINISTRACION DE CONSTRUCCIONES,1 SMMLV,1,10.0
ADMINISTRACION DE CONSTRUCCIONES,Entre 4 y 6 SMMLV,1,10.0
ADMINISTRACION DE CONSTRUCCIONES,Más de 9 SMMLV,1,10.0
ADMINISTRACION DE EMPRESAS,"Entre 1,5 y 2,5 SMMLV",45142,26.16
ADMINISTRACION DE EMPRESAS,"Entre 1 y 1,5 SMMLV",42176,24.44
ADMINISTRACION DE EMPRESAS,"Entre 2,5 y 4 SMMLV",40686,23.58
ADMINISTRACION DE EMPRESAS,Entre 4 y 6 SMMLV,18811,10.9
ADMINISTRACION DE EMPRESAS,1 SMMLV,10509,6.09
ADMINISTRACION DE EMPRESAS,Entre 6 y 9 SMMLV,8641,5.01
ADMINISTRACION DE EMPRESAS,Más de 9 SMMLV,6600,3.82
ADMINISTRACION DE EMPRESAS ,"Entre 1 y 1,5 SMMLV",231,34.22
ADMINISTRACION DE EMPRESAS ,"Entre 1,5 y 2,5 SMMLV",194,28.74
ADMINISTRACION DE EMPRESAS ,"Entre 2,5 y 4 SMMLV",137,20.3
ADMINISTRACION DE EMPRESAS ,1 SMMLV,69,10.22
ADMINISTRACION DE EMPRESAS ,Entre 4 y 6 SMMLV,24,3.56
ADMINISTRACION DE EMPRESAS ,Entre 6 y 9 SMMLV,12,1.78
ADMINISTRACION DE EMPRESAS ,Más de 9 SMMLV,8,1.19
ADMINISTRACION DE EMPRESAS - CICLO PROFESIONAL,"Entre 2,5 y 4 SMMLV",468,31.08
ADMINISTRACION DE EMPRESAS - CICLO PROFESIONAL,"Entre 1,5 y 2,5 SMMLV",334,22.18
ADMINISTRACION DE EMPRESAS - CICLO PROFESIONAL,Entre 4 y 6 SMMLV,235,15.6
ADMINISTRACION DE EMPRESAS - CICLO PROFESIONAL,"Entre 1 y 1,5 SMMLV",223,14.81
ADMINISTRACION DE EMPRESAS - CICLO PROFESIONAL,Entre 6 y 9 SMMLV,106,7.04
ADMINISTRACION DE EMPRESAS - CICLO PROFESIONAL,Más de 9 SMMLV,94,6.24
ADMINISTRACION DE EMPRESAS - CICLO PROFESIONAL,1 SMMLV,46,3.05
ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES,"Entre 1,5 y 2,5 SMMLV",15,37.5
ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES,"Entre 1 y 1,5 SMMLV",10,25.0
ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES,"Entre 2,5 y 4 SMMLV",9,22.5
ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES,Entre 4 y 6 SMMLV,4,10.0
ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES,1 SMMLV,1,2.5
ADMINISTRACION DE EMPRESAS AGROINDUSTRIALES,Entre 6 y 9 SMMLV,1,2.5
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,"Entre 1 y 1,5 SMMLV",744,30.12
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,"Entre 1,5 y 2,5 SMMLV",586,23.72
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,"Entre 2,5 y 4 SMMLV",552,22.35
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,Entre 4 y 6 SMMLV,218,8.83
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,1 SMMLV,216,8.74
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,Entre 6 y 9 SMMLV,98,3.97
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,Más de 9 SMMLV,56,2.27
ADMINISTRACION DE EMPRESAS COMERCIALES,"Entre 2,5 y 4 SMMLV",582,31.19
ADMINISTRACION DE EMPRESAS COMERCIALES,"Entre 1,5 y 2,5 SMMLV",454,24.33
ADMINISTRACION DE EMPRESAS COMERCIALES,"Entre 1 y 1,5 SMMLV",281,15.06
ADMINISTRACION DE EMPRESAS COMERCIALES,Entre 4 y 6 SMMLV,263,14.09
ADMINISTRACION DE EMPRESAS COMERCIALES,Entre 6 y 9 SMMLV,118,6.32
ADMINISTRACION DE EMPRESAS COMERCIALES,1 SMMLV,105,5.63
ADMINISTRACION DE EMPRESAS COMERCIALES,Más de 9 SMMLV,63,3.38
ADMINISTRACION DE EMPRESAS CON ENFASIS EN ECONOMIA SOLIDARIA,"Entre 2,5 y 4 SMMLV",85,24.43
ADMINISTRACION DE EMPRESAS CON ENFASIS EN ECONOMIA SOLIDARIA,"Entre 1 y 1,5 SMMLV",74,21.26
ADMINISTRACION DE EMPRESAS CON ENFASIS EN ECONOMIA SOLIDARIA,"Entre 1,5 y 2,5 SMMLV",69,19.83
ADMINISTRACION DE EMPRESAS CON ENFASIS EN ECONOMIA SOLIDARIA,Entre 4 y 6 SMMLV,64,18.39
ADMINISTRACION DE EMPRESAS CON ENFASIS EN ECONOMIA SOLIDARIA,Entre 6 y 9 SMMLV,27,7.76
ADMINISTRACION DE EMPRESAS CON ENFASIS EN ECONOMIA SOLIDARIA,Más de 9 SMMLV,20,5.75
ADMINISTRACION DE EMPRESAS CON ENFASIS EN ECONOMIA SOLIDARIA,1 SMMLV,9,2.59
ADMINISTRACION DE EMPRESAS CON ENFASIS EN FINANZAS,"Entre 2,5 y 4 SMMLV",17,24.29
ADMINISTRACION DE EMPRESAS CON ENFASIS EN FINANZAS,"Entre 1 y 1,5 SMMLV",14,20.0
ADMINISTRACION DE EMPRESAS CON ENFASIS EN FINANZAS,"Entre 1,5 y 2,5 SMMLV",13,18.57
ADMINISTRACION DE EMPRESAS CON ENFASIS EN FINANZAS,Entre 4 y 6 SMMLV,10,14.29
ADMINISTRACION DE EMPRESAS CON ENFASIS EN FINANZAS,Entre 6 y 9 SMMLV,6,8.57
ADMINISTRACION DE EMPRESAS CON ENFASIS EN FINANZAS,1 SMMLV,5,7.14
ADMINISTRACION DE EMPRESAS CON ENFASIS EN FINANZAS,Más de 9 SMMLV,5,7.14
ADMINISTRACION DE EMPRESAS COOPERATIVAS,"Entre 1 y 1,5 SMMLV",3,37.5
ADMINISTRACION DE EMPRESAS COOPERATIVAS,"Entre 2,5 y 4 SMMLV",3,37.5
ADMINISTRACION DE EMPRESAS COOPERATIVAS,Entre 4 y 6 SMMLV,1,12.5
ADMINISTRACION DE EMPRESAS COOPERATIVAS,Más de 9 SMMLV,1,12.5
ADMINISTRACION DE EMPRESAS DEPORTIVAS,"Entre 1,5 y 2,5 SMMLV",6,26.09
ADMINISTRACION DE EMPRESAS DEPORTIVAS,"Entre 1 y 1,5 SMMLV",5,21.74
ADMINISTRACION DE EMPRESAS DEPORTIVAS,"Entre 2,5 y 4 SMMLV",5,21.74
ADMINISTRACION DE EMPRESAS DEPORTIVAS,Entre 4 y 6 SMMLV,3,13.04
ADMINISTRACION DE EMPRESAS DEPORTIVAS,Entre 6 y 9 SMMLV,2,8.7
ADMINISTRACION DE EMPRESAS DEPORTIVAS,1 SMMLV,1,4.35
ADMINISTRACION DE EMPRESAS DEPORTIVAS,Más de 9 SMMLV,1,4.35
ADMINISTRACION DE EMPRESAS HOTELERAS Y TURISTICAS,"Entre 1 y 1,5 SMMLV",4,36.36
ADMINISTRACION DE EMPRESAS HOTELERAS Y TURISTICAS,"Entre 2,5 y 4 SMMLV",4,36.36
ADMINISTRACION DE EMPRESAS HOTELERAS Y TURISTICAS,1 SMMLV,1,9.09
ADMINISTRACION DE EMPRESAS HOTELERAS Y TURISTICAS,Entre 4 y 6 SMMLV,1,9.09
ADMINISTRACION DE EMPRESAS HOTELERAS Y TURISTICAS,Más de 9 SMMLV,1,9.09
ADMINISTRACION DE EMPRESAS INDUSTRIALES,"Entre 1 y 1,5 SMMLV",7,26.92
ADMINISTRACION DE EMPRESAS INDUSTRIALES,Entre 4 y 6 SMMLV,7,26.92
ADMINISTRACION DE EMPRESAS INDUSTRIALES,"Entre 1,5 y 2,5 SMMLV",4,15.38
ADMINISTRACION DE EMPRESAS INDUSTRIALES,"Entre 2,5 y 4 SMMLV",4,15.38
ADMINISTRACION DE EMPRESAS INDUSTRIALES,1 SMMLV,2,7.69
ADMINISTRACION DE EMPRESAS INDUSTRIALES,Entre 6 y 9 SMMLV,2,7.69
ADMINISTRACION DE EMPRESAS TURISTICA,"Entre 1 y 1,5 SMMLV",8,53.33
ADMINISTRACION DE EMPRESAS TURISTICA,"Entre 1,5 y 2,5 SMMLV",5,33.33
ADMINISTRACION DE EMPRESAS TURISTICA,1 SMMLV,2,13.33
ADMINISTRACION DE EMPRESAS TURISTICAS,"Entre 1 y 1,5 SMMLV",336,31.05
ADMINISTRACION DE EMPRESAS TURISTICAS,"Entre 1,5 y 2,5 SMMLV",325,30.04
ADMINISTRACION DE EMPRESAS TURISTICAS,"Entre 2,5 y 4 SMMLV",211,19.5
ADMINISTRACION DE EMPRESAS TURISTICAS,1 SMMLV,114,10.54
ADMINISTRACION DE EMPRESAS TURISTICAS,Entre 4 y 6 SMMLV,62,5.73
ADMINISTRACION DE EMPRESAS TURISTICAS,Entre 6 y 9 SMMLV,26,2.4
ADMINISTRACION DE EMPRESAS TURISTICAS,Más de 9 SMMLV,8,0.74
ADMINISTRACION DE EMPRESAS TURISTICAS POR CICLOS - CICLO PROFESIONAL,"Entre 1 y 1,5 SMMLV",2,40.0
ADMINISTRACION DE EMPRESAS TURISTICAS POR CICLOS - CICLO PROFESIONAL,1 SMMLV,1,20.0
ADMINISTRACION DE EMPRESAS TURISTICAS POR CICLOS - CICLO PROFESIONAL,"Entre 1,5 y 2,5 SMMLV",1,20.0
ADMINISTRACION DE EMPRESAS TURISTICAS POR CICLOS - CICLO PROFESIONAL,Entre 4 y 6 SMMLV,1,20.0
ADMINISTRACION DE EMPRESAS TURISTICAS Y HOTELERAS,"Entre 1,5 y 2,5 SMMLV",455,28.93
ADMINISTRACION DE EMPRESAS TURISTICAS Y HOTELERAS,"Entre 1 y 1,5 SMMLV",439,27.91
ADMINISTRACION DE EMPRESAS TURISTICAS Y HOTELERAS,"Entre 2,5 y 4 SMMLV",275,17.48
ADMINISTRACION DE EMPRESAS TURISTICAS Y HOTELERAS,Entre 4 y 6 SMMLV,148,9.41
ADMINISTRACION DE EMPRESAS TURISTICAS Y HOTELERAS,1 SMMLV,142,9.03
ADMINISTRACION DE EMPRESAS TURISTICAS Y HOTELERAS,Entre 6 y 9 SMMLV,69,4.39
ADMINISTRACION DE EMPRESAS TURISTICAS Y HOTELERAS,Más de 9 SMMLV,45,2.86
ADMINISTRACION DE EMPRESAS Y FINANZAS,"Entre 1,5 y 2,5 SMMLV",94,29.28
ADMINISTRACION DE EMPRESAS Y FINANZAS,"Entre 2,5 y 4 SMMLV",90,28.04
ADMINISTRACION DE EMPRESAS Y FINANZAS,"Entre 1 y 1,5 SMMLV",77,23.99
ADMINISTRACION DE EMPRESAS Y FINANZAS,Entre 4 y 6 SMMLV,24,7.48
ADMINISTRACION DE EMPRESAS Y FINANZAS,Entre 6 y 9 SMMLV,16,4.98
ADMINISTRACION DE EMPRESAS Y FINANZAS,1 SMMLV,14,4.36
ADMINISTRACION DE EMPRESAS Y FINANZAS,Más de 9 SMMLV,6,1.87
ADMINISTRACION DE EMPRESAS Y GERENCIA INTERNACIONAL,"Entre 1 y 1,5 SMMLV",13,39.39
ADMINISTRACION DE EMPRESAS Y GERENCIA INTERNACIONAL,"Entre 2,5 y 4 SMMLV",8,24.24
ADMINISTRACION DE EMPRESAS Y GERENCIA INTERNACIONAL,"Entre 1,5 y 2,5 SMMLV",5,15.15
ADMINISTRACION DE EMPRESAS Y GERENCIA INTERNACIONAL,Entre 4 y 6 SMMLV,3,9.09
ADMINISTRACION DE EMPRESAS Y GERENCIA INTERNACIONAL,Entre 6 y 9 SMMLV,2,6.06
ADMINISTRACION DE EMPRESAS Y GERENCIA INTERNACIONAL,Más de 9 SMMLV,2,6.06
ADMINISTRACION DE EMPRESAS Y GESTION AMBIENTAL,"Entre 1,5 y 2,5 SMMLV",105,33.87
ADMINISTRACION DE EMPRESAS Y GESTION AMBIENTAL,"Entre 1 y 1,5 SMMLV",85,27.42
ADMINISTRACION DE EMPRESAS Y GESTION AMBIENTAL,"Entre 2,5 y 4 SMMLV",60,19.35
ADMINISTRACION DE EMPRESAS Y GESTION AMBIENTAL,1 SMMLV,29,9.35
ADMINISTRACION DE EMPRESAS Y GESTION AMBIENTAL,Entre 4 y 6 SMMLV,24,7.74
ADMINISTRACION DE EMPRESAS Y GESTION AMBIENTAL,Entre 6 y 9 SMMLV,4,1.29
ADMINISTRACION DE EMPRESAS Y GESTION AMBIENTAL,Más de 9 SMMLV,3,0.97
ADMINISTRACION DE GESTISN HUMANA,"Entre 2,5 y 4 SMMLV",51,39.23
ADMINISTRACION DE GESTISN HUMANA,"Entre 1,5 y 2,5 SMMLV",22,16.92
ADMINISTRACION DE GESTISN HUMANA,Entre 4 y 6 SMMLV,22,16.92
ADMINISTRACION DE GESTISN HUMANA,"Entre 1 y 1,5 SMMLV",13,10.0
ADMINISTRACION DE GESTISN HUMANA,Entre 6 y 9 SMMLV,11,8.46
ADMINISTRACION DE GESTISN HUMANA,1 SMMLV,7,5.38
ADMINISTRACION DE GESTISN HUMANA,Más de 9 SMMLV,4,3.08
ADMINISTRACION DE HOTELERIA Y TURISMO,"Entre 1 y 1,5 SMMLV",44,48.89
ADMINISTRACION DE HOTELERIA Y TURISMO,"Entre 1,5 y 2,5 SMMLV",23,25.56
ADMINISTRACION DE HOTELERIA Y TURISMO,1 SMMLV,10,11.11
ADMINISTRACION DE HOTELERIA Y TURISMO,"Entre 2,5 y 4 SMMLV",8,8.89
ADMINISTRACION DE HOTELERIA Y TURISMO,Entre 4 y 6 SMMLV,5,5.56
ADMINISTRACION DE INFORMATICA,"Entre 2,5 y 4 SMMLV",20,27.4
ADMINISTRACION DE INFORMATICA,"Entre 1 y 1,5 SMMLV",16,21.92
ADMINISTRACION DE INFORMATICA,Entre 4 y 6 SMMLV,16,21.92
ADMINISTRACION DE INFORMATICA,"Entre 1,5 y 2,5 SMMLV",12,16.44
ADMINISTRACION DE INFORMATICA,Entre 6 y 9 SMMLV,8,10.96
ADMINISTRACION DE INFORMATICA,Más de 9 SMMLV,1,1.37
ADMINISTRACION DE INSTITUCIONES DE SERVICIO,Más de 9 SMMLV,42,20.29
ADMINISTRACION DE INSTITUCIONES DE SERVICIO,Entre 4 y 6 SMMLV,40,19.32
ADMINISTRACION DE INSTITUCIONES DE SERVICIO,"Entre 2,5 y 4 SMMLV",36,17.39
ADMINISTRACION DE INSTITUCIONES DE SERVICIO,"Entre 1 y 1,5 SMMLV",33,15.94
ADMINISTRACION DE INSTITUCIONES DE SERVICIO,Entre 6 y 9 SMMLV,31,14.98
ADMINISTRACION DE INSTITUCIONES DE SERVICIO,"Entre 1,5 y 2,5 SMMLV",22,10.63
ADMINISTRACION DE INSTITUCIONES DE SERVICIO,1 SMMLV,3,1.45
ADMINISTRACION DE LA CALIDAD,"Entre 1 y 1,5 SMMLV",1,33.33
ADMINISTRACION DE LA CALIDAD,"Entre 2,5 y 4 SMMLV",1,33.33
ADMINISTRACION DE LA CALIDAD,Entre 6 y 9 SMMLV,1,33.33
ADMINISTRACION DE LA SEGURIDAD INTEGRAL,"Entre 2,5 y 4 SMMLV",23,35.94
ADMINISTRACION DE LA SEGURIDAD INTEGRAL,"Entre 1 y 1,5 SMMLV",15,23.44
ADMINISTRACION DE LA SEGURIDAD INTEGRAL,Entre 4 y 6 SMMLV,10,15.62
ADMINISTRACION DE LA SEGURIDAD INTEGRAL,"Entre 1,5 y 2,5 SMMLV",8,12.5
ADMINISTRACION DE LA SEGURIDAD INTEGRAL,1 SMMLV,3,4.69
ADMINISTRACION DE LA SEGURIDAD INTEGRAL,Entre 6 y 9 SMMLV,3,4.69
ADMINISTRACION DE LA SEGURIDAD INTEGRAL,Más de 9 SMMLV,2,3.12
ADMINISTRACION DE LA SEGURIDAD SOCIAL,"Entre 1 y 1,5 SMMLV",44,64.71
ADMINISTRACION DE LA SEGURIDAD SOCIAL,"Entre 1,5 y 2,5 SMMLV",12,17.65
ADMINISTRACION DE LA SEGURIDAD SOCIAL,1 SMMLV,7,10.29
ADMINISTRACION DE LA SEGURIDAD SOCIAL,"Entre 2,5 y 4 SMMLV",4,5.88
ADMINISTRACION DE LA SEGURIDAD SOCIAL,Entre 4 y 6 SMMLV,1,1.47
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL,"Entre 2,5 y 4 SMMLV",49,31.82
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL,"Entre 1,5 y 2,5 SMMLV",41,26.62
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL,"Entre 1 y 1,5 SMMLV",27,17.53
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL,Entre 4 y 6 SMMLV,18,11.69
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL,1 SMMLV,9,5.84
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL,Entre 6 y 9 SMMLV,9,5.84
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL,Más de 9 SMMLV,1,0.65
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL-,"Entre 1,5 y 2,5 SMMLV",166,34.95
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL-,"Entre 2,5 y 4 SMMLV",129,27.16
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL-,"Entre 1 y 1,5 SMMLV",105,22.11
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL-,1 SMMLV,38,8.0
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL-,Entre 4 y 6 SMMLV,27,5.68
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL-,Entre 6 y 9 SMMLV,8,1.68
ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL-,Más de 9 SMMLV,2,0.42
ADMINISTRACION DE LA SEGURIDAD Y SALUDEN EL TRABAJO,"Entre 1,5 y 2,5 SMMLV",82,36.12
ADMINISTRACION DE LA SEGURIDAD Y SALUDEN EL TRABAJO,"Entre 1 y 1,5 SMMLV",76,33.48
ADMINISTRACION DE LA SEGURIDAD Y SALUDEN EL TRABAJO,"Entre 2,5 y 4 SMMLV",33,14.54
ADMINISTRACION DE LA SEGURIDAD Y SALUDEN EL TRABAJO,1 SMMLV,22,9.69
ADMINISTRACION DE LA SEGURIDAD Y SALUDEN EL TRABAJO,Entre 4 y 6 SMMLV,13,5.73
ADMINISTRACION DE LA SEGURIDAD Y SALUDEN EL TRABAJO,Entre 6 y 9 SMMLV,1,0.44
ADMINISTRACION DE MERCADEO,"Entre 2,5 y 4 SMMLV",346,24.8
ADMINISTRACION DE MERCADEO,"Entre 1,5 y 2,5 SMMLV",336,24.09
ADMINISTRACION DE MERCADEO,"Entre 1 y 1,5 SMMLV",298,21.36
ADMINISTRACION DE MERCADEO,Entre 4 y 6 SMMLV,170,12.19
ADMINISTRACION DE MERCADEO,Entre 6 y 9 SMMLV,100,7.17
ADMINISTRACION DE MERCADEO,1 SMMLV,82,5.88
ADMINISTRACION DE MERCADEO,Más de 9 SMMLV,63,4.52
ADMINISTRACION DE MERCADEO Y LOGISTICA INTERNACIONALES,"Entre 2,5 y 4 SMMLV",116,34.73
ADMINISTRACION DE MERCADEO Y LOGISTICA INTERNACIONALES,Entre 4 y 6 SMMLV,76,22.75
ADMINISTRACION DE MERCADEO Y LOGISTICA INTERNACIONALES,"Entre 1,5 y 2,5 SMMLV",58,17.37
ADMINISTRACION DE MERCADEO Y LOGISTICA INTERNACIONALES,"Entre 1 y 1,5 SMMLV",32,9.58
ADMINISTRACION DE MERCADEO Y LOGISTICA INTERNACIONALES,Entre 6 y 9 SMMLV,32,9.58
ADMINISTRACION DE MERCADEO Y LOGISTICA INTERNACIONALES,Más de 9 SMMLV,17,5.09
ADMINISTRACION DE MERCADEO Y LOGISTICA INTERNACIONALES,1 SMMLV,3,0.9
ADMINISTRACION DE MERCADEO Y VENTAS,"Entre 1 y 1,5 SMMLV",19,31.15
ADMINISTRACION DE MERCADEO Y VENTAS,"Entre 2,5 y 4 SMMLV",13,21.31
