ActividadEconomicaDesc,total_cotizantes,total_cotizaciones
4771 - Comercio Al Por Menor De Prendas De Vestir Y Sus Accesorios (Incluye Artículos De Piel) En Establecimientos Especializados,298935.569,298398.1
8541 - Educación Técnica Profesional,296071.955,296478.023
6630 - Actividades De Administración De Fondos,295427.453,295636.565
8220 - Actividades De Centros De Llamadas (Call Center),292642.879,292946.273
9411 - Actividades De Asociaciones Empresariales Y De Empleadores,292464.209,292595.781
3514 - Comercialización De Energía Eléctrica,292196.267,292352.46
5511 - Alojamiento En Hoteles,292176.616,292531.019
7500 - Actividades Veterinarias,292140.381,292596.765
0141 - Cría De Ganado Bovino Y Bufalino,291893.344,292634.286
4690 - Comercio Al Por Mayor No Especializado,280641.67,280757.802
1063 - Otros Derivados Del Café,280636.783,280668.785
4511 - Comercio De Vehículos Automotores Nuevos,280396.625,281044.077
5011 - Transporte De Pasajeros Marítimo Y De Cabotaje,280349.881,280748.886
5210 - Almacenamiento Y Depósito,279301.338,279556.39
2310 - Fabricación De Vidrio Y Productos De Vidrio,277083.884,277142.929
8543 - Educación De Instituciones Universitarias O De Escuelas Tecnológicas,272366.297,272970.362
2211 - Fabricación De Llantas Y Neumáticos De Caucho,271496.161,271641.161
6521 - Servicios De Seguros Sociales De Salud,270384.078,270628.74
9319 - Otras Actividades Deportivas,269457.213,269815.474
"4719 - Comercio Al Por Menor En Establecimientos No Especializados, Con Surtido Compuesto Principalmente Por Productos Diferentes De Alimentos (Víveres En General), Bebidas Y Tabaco",269197.57,269714.854
1081 - Elaboración De Productos De Panadería,268708.376,268940.127
4520 - Mantenimiento Y Reparación De Vehículos Automotores,265445.458,264636.02
"4799 - Otros Tipos De Comercio Al Por Menor No Realizado En Establecimientos, Puestos De Venta O Mercados.",264810.37,265297.073
1701 - Fabricación De Pulpas (Pastas) Celulósicas; Papel Y Cartón,263406.0,263459.0
9312 - Actividades De Clubes Deportivos,262480.091,262961.974
7830 - Otras Actividades De Suministro De Recurso Humano,261613.747,261886.405
0114 - Cultivo De Tabaco,258666.097,258684.208
2012 - Fabricación De Abonos Y Compuestos Inorgánicos Nitrogenados,258653.386,258696.454
9412 - Actividades De Asociaciones Profesionales,257177.0,257622.0
"4773 - Comercio Al Por Menor De Productos Farmacéuticos Y Medicinales, Cosméticos Y Artículos De Tocador En Establecimientos Especializados",253965.228,254468.052
1089 - Elaboración De Otros Productos Alimenticios N.C.P.,253255.069,253777.67
8890 - Otras Actividades De Asistencia Social Sin Alojamiento,252686.069,253161.535
8551 - Formación Académica No Formal,251626.074,252309.696
3110 - Fabricación De Muebles,248739.273,249059.18
"4752 - Comercio Al Por Menor De Artículos De Ferretería, Pinturas Y Productos De Vidrio En Establecimientos Especializados",248128.761,247293.463
"7730 - Alquiler Y Arrendamiento De Otros Tipos De Maquinaria, Equipo Y Bienes Tangibles N.C.P.",247417.179,247957.792
5611 - Expendio A La Mesa De Comidas Preparadas,245101.96,246002.827
9200 - Actividades De Juegos De Azar Y Apuestas,244915.574,245621.328
6422 - Actividades De Las Compañías De Financiamiento,243835.101,243924.147
5820 - Edición De Programas De Informática (Software),243818.72,244148.737
4669 - Comercio Al Por Mayor De Otros Productos N.C.P.,243478.484,243521.063
2790 - Fabricación De Otros Tipos De Equipo Eléctrico N.C.P.,242451.43,242472.435
6423 - Banca De Segundo Piso,241641.0,241684.0
0610 - Extracción De Petróleo Crudo,241360.989,240756.102
"4663 - Comercio Al Por Mayor De Materiales De Construcción, Artículos De Ferretería, Pinturas, Productos De Vidrio, Equipo Y Materiales De Fontanería Y Calefacción",239321.067,239543.79
2610 - Fabricación De Componentes Y Tableros Electrónicos,238920.0,238933.0
8129 - Otras Actividades De Limpieza De Edificios E Instalaciones Industriales,237896.307,237969.545
2599 - Fabricación De Otros Productos Elaborados De Metal N.C.P.,237497.489,237647.335
5224 - Manipulación De Carga,235902.688,236173.276
0125 - Cultivo De Flor De Corte,235122.443,236007.848
4759 - Comercio Al Por Menor De Otros Artículos Domésticos En Establecimientos Especializados,234722.777,232883.99
5121 - Transporte Aéreo Nacional De Carga,234326.491,234504.541
6110 - Actividades De Telecomunicaciones Alámbricas,233273.226,233479.721
4610 - Comercio Al Por Mayor A Cambio De Una Retribución O Por Contrata,232910.575,233122.58
"3600 - Captación, Tratamiento Y Distribución De Agua",232725.161,233247.465
9004 - Creación Audiovisual,232405.0,232490.0
"2394 - Fabricación De Cemento, Cal Y Yeso",231080.998,231194.023
6424 - Actividades De Las Cooperativas Financieras,230785.654,230827.714
9008 - Otras Actividades De Espectáculos En Vivo,230609.327,230698.963
