institucion,programa,departamento,MOD_RAZONA_CUANTITAT_PUNT,MOD_COMUNI_ESCRITA_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_INGLES_PUNT,MOD_COMPETEN_CIUDADA_PUNT
UNIVERSIDAD CES-MEDELLIN,QUIMICA FARMACEUTICA,ANTIOQUIA,197.0,170.0,188.0,199.0,172.0
UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,BOGOTÁ,128.0,156.0,148.0,117.0,120.0
UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,CONTADURIA PUBLICA,BOGOTÁ,128.0,100.0,99.0,137.0,96.0
UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA CIVIL,BOGOTÁ,173.0,123.0,168.0,171.0,137.0
UNIVERSIDAD COOPERATIVA DE COLOMBIA-BUCARAMANGA,MEDICINA VETERINARIA Y ZOOTECNIA,SANTANDER,136.0,126.0,153.0,153.0,169.0
UNIVERSIDAD COOPERATIVA DE COLOMBIA-SANTA MARTA,MEDICINA,MAGDALENA,139.0,177.0,140.0,165.0,147.0
UNIVERSIDAD DE ANTIOQUIA-MEDELLIN,INGENIERIA INDUSTRIAL,ANTIOQUIA,128.0,98.0,119.0,171.0,121.0
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,ADMINISTRACION DE EMPRESAS,BOYACA,146.1304347826087,142.02173913043478,142.6304347826087,155.52173913043478,137.67391304347825
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,ADMINISTRACION Y NEGOCIOS INTERNACIONALES,BOYACA,135.8,139.0,134.4,163.2,129.2
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,ARQUITECTURA,BOYACA,146.98657718120805,141.81879194630872,143.13422818791946,157.58389261744966,139.08053691275168
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,BACTERIOLOGIA Y LABORATORIO CLINICO,BOYACA,156.88888888888889,155.44444444444446,152.0,165.33333333333334,142.22222222222223
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,COMUNICACION SOCIAL,BOYACA,145.8181818181818,129.72727272727272,165.27272727272728,166.27272727272728,153.1818181818182
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,CONTADURIA PUBLICA,BOYACA,160.0,128.0,142.0,129.0,153.0
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,DERECHO Y CIENCIAS POLITICAS,BOYACA,141.52803738317758,149.65420560747663,154.38785046728972,154.2289719626168,157.67757009345794
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,DISEÑO DE MODAS,BOYACA,120.0,137.0,140.0,152.5,130.5
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,DISEÑO GRAFICO,BOYACA,153.66666666666666,147.33333333333334,146.0,172.33333333333334,151.0
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,ENFERMERÍA,BOYACA,135.46153846153845,122.15384615384616,142.0,137.3846153846154,147.84615384615384
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,FISIOTERAPIA,BOYACA,144.8,149.2,143.0,160.2,149.0
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,INGENIERIA AMBIENTAL,BOYACA,153.3082191780822,139.93661971830986,141.9794520547945,150.28082191780823,139.486301369863
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,INGENIERIA DE SISTEMAS,BOYACA,156.0,154.0,151.75,152.75,147.75
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,INGENIERIA INDUSTRIAL,BOYACA,158.78787878787878,144.78787878787878,149.4848484848485,151.54545454545453,146.1818181818182
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,INGENIERIA SANITARIA,BOYACA,162.46153846153845,140.75,154.69230769230768,156.46153846153845,138.84615384615384
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,INGENIERÍA MECATRÓNICA,BOYACA,173.42857142857142,148.42857142857142,145.28571428571428,169.85714285714286,119.85714285714286
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,INSTRUMENTACION QUIRURGICA,BOYACA,153.71428571428572,124.85714285714286,152.0,153.42857142857142,157.28571428571428
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,LICENCIATURA EN PEDAGOGÍA INFANTIL,BOYACA,151.0,129.0,174.0,172.0,169.0
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,MEDICINA,BOYACA,165.05555555555554,148.11111111111111,163.27777777777777,168.44444444444446,150.16666666666666
UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,PSICOLOGIA,BOYACA,136.25675675675674,154.8918918918919,154.40540540540542,151.94594594594594,148.93243243243242
UNIVERSIDAD DE CALDAS-MANIZALES,ANTROPOLOGIA,CALDAS,144.0,300.0,209.0,121.0,209.0
UNIVERSIDAD DE CALDAS-MANIZALES,SOCIOLOGIA,CALDAS,177.0,174.0,191.0,191.0,188.0
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA.-BOGOTÁ D.C.,CIENCIAS AMBIENTALES,BOGOTÁ,133.0,129.0,161.0,136.0,116.0
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA.-BOGOTÁ D.C.,ENFERMERIA,BOGOTÁ,122.0,167.0,172.0,156.0,160.0
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA.-BOGOTÁ D.C.,MEDICINA,BOGOTÁ,170.0,165.0,208.0,203.0,181.0
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA.-BOGOTÁ D.C.,MEDICINA VETERINARIA Y ZOOTECNIA,BOGOTÁ,134.0,170.0,147.0,161.0,125.0
UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA.-BOGOTÁ D.C.,QUIMICA FARMACEUTICA,BOGOTÁ,160.0,136.0,154.0,146.0,91.0
UNIVERSIDAD DE CUNDINAMARCA-UDEC-FUSAGASUGA,CONTADURIA PUBLICA,CUNDINAMARCA,129.0,161.0,151.0,163.0,181.0
UNIVERSIDAD DE CUNDINAMARCA-UDEC-GIRARDOT,ENFERMERIA,CUNDINAMARCA,144.0,111.0,160.5,151.5,166.0
UNIVERSIDAD DE CUNDINAMARCA-UDEC-UBATE,ADMINISTRACION DE EMPRESAS,CUNDINAMARCA,155.0,131.0,194.0,182.0,155.0
UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI - BUCARAMANGA,INGENIERÍA CIVIL,SANTANDER,153.0,128.0,124.0,116.0,152.0
UNIVERSIDAD DE LA SABANA-CHIA,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,CUNDINAMARCA,216.0,189.0,191.0,199.0,207.0
UNIVERSIDAD DE LA SABANA-CHIA,COMUNICACION AUDIOVISUAL Y MULTIMEDIOS,CUNDINAMARCA,186.0,202.0,170.0,212.0,164.0
UNIVERSIDAD DE LA SABANA-CHIA,DERECHO,CUNDINAMARCA,169.0,204.5,194.5,186.0,190.0
UNIVERSIDAD DE LA SABANA-CHIA,GASTRONOMIA,CUNDINAMARCA,201.0,138.0,162.0,181.0,171.0
UNIVERSIDAD DE LA SABANA-CHIA,INGENIERIA INDUSTRIAL,CUNDINAMARCA,171.0,165.0,179.0,193.0,189.5
UNIVERSIDAD DE LA SABANA-CHIA,INGENIERIA QUIMICA,CUNDINAMARCA,181.66666666666666,164.33333333333334,205.66666666666666,197.0,185.33333333333334
UNIVERSIDAD DE LA SABANA-CHIA,INGENIERÍA CIVIL,CUNDINAMARCA,224.5,190.83333333333334,180.66666666666666,195.16666666666666,180.66666666666666
UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,ARQUITECTURA,BOGOTÁ,189.0,124.0,183.0,176.0,177.0
UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,FILOSOFIA Y LETRAS,BOGOTÁ,86.0,184.0,142.0,132.0,139.0
UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,FINANZAS Y COMERCIO INTERNACIONAL,BOGOTÁ,169.0,161.0,154.0,168.0,163.0
UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,INGENIERIA AMBIENTAL Y SANITARIA,BOGOTÁ,163.0,134.33333333333334,151.0,181.33333333333334,166.33333333333334
UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,INGENIERIA CIVIL,BOGOTÁ,178.33333333333334,151.0,165.33333333333334,178.33333333333334,183.33333333333334
UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,INGENIERIA ELECTRICA,BOGOTÁ,197.0,165.0,182.5,191.0,168.0
UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,NEGOCIOS Y RELACIONES INTERNACIONALES,BOGOTÁ,144.33333333333334,147.0,172.0,186.0,181.66666666666666
UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,OPTOMETRÍA,BOGOTÁ,168.5,164.5,177.0,172.0,167.0
UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,TRABAJO SOCIAL,BOGOTÁ,170.0,238.0,186.0,188.5,184.0
UNIVERSIDAD DE LA SALLE-BOGOTÁ D.C.,ZOOTECNIA,BOGOTÁ,185.0,201.0,173.0,145.0,166.0
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,ARQUITECTURA,BOGOTÁ,162.0,184.0,178.0,202.0,192.0
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,DERECHO,BOGOTÁ,191.0,192.0,214.0,210.0,224.0
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA AMBIENTAL,BOGOTÁ,200.0,122.0,185.0,183.0,196.0
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA BIOMEDICA,BOGOTÁ,205.0,136.0,226.0,220.0,200.0
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA CIVIL,BOGOTÁ,203.0,156.85714285714286,169.28571428571428,204.57142857142858,194.28571428571428
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA DE SISTEMAS Y COMPUTACION,BOGOTÁ,206.0,171.0,156.0,210.0,182.0
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA ELECTRICA,BOGOTÁ,228.0,179.0,223.0,214.0,202.0
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA INDUSTRIAL,BOGOTÁ,213.8,178.2,186.0,195.2,190.0
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA MECANICA,BOGOTÁ,205.0,169.25,198.25,227.5,173.5
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA QUIMICA,BOGOTÁ,188.0,185.0,209.0,192.0,222.0
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,MUSICA,BOGOTÁ,148.0,177.0,171.0,182.0,161.0
UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,PSICOLOGIA,BOGOTÁ,173.0,190.0,205.0,209.0,204.0
UNIVERSIDAD DE MEDELLIN-MEDELLIN,INGENIERIA CIVIL,ANTIOQUIA,182.0,163.0,165.0,152.0,172.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,ADMINISTRACION DE EMPRESAS,NORTE SANTANDER,128.0,129.0,135.0,103.0,130.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,ARQUITECTURA,NORTE SANTANDER,142.1,96.1,154.0,135.0,146.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,COMUNICACION SOCIAL,NORTE SANTANDER,164.0,161.0,200.0,176.0,184.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,CONTADURIA PUBLICA,NORTE SANTANDER,170.0,134.0,155.0,135.0,118.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,DERECHO,NORTE SANTANDER,125.5,165.5,131.0,136.5,140.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,DISEÑO INDUSTRIAL,NORTE SANTANDER,151.0,159.0,130.0,154.0,159.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,FISICA,NORTE SANTANDER,156.0,149.0,164.0,152.0,165.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,FONOAUDIOLOGIA,NORTE SANTANDER,172.0,120.0,159.0,181.0,173.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,INGENIERIA AGRONOMICA,NORTE SANTANDER,104.0,126.0,105.0,126.0,126.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,INGENIERIA AMBIENTAL,NORTE SANTANDER,156.0,131.4,157.2,134.6,138.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,INGENIERIA CIVIL,NORTE SANTANDER,157.25,90.0,136.5,137.5,130.25
UNIVERSIDAD DE PAMPLONA-PAMPLONA,INGENIERIA DE ALIMENTOS,NORTE SANTANDER,164.0,132.0,146.0,168.0,155.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,INGENIERIA ELECTRICA,NORTE SANTANDER,161.5,131.0,125.0,148.0,111.5
UNIVERSIDAD DE PAMPLONA-PAMPLONA,INGENIERIA INDUSTRIAL,NORTE SANTANDER,158.33333333333334,115.0,155.66666666666666,142.66666666666666,144.66666666666666
UNIVERSIDAD DE PAMPLONA-PAMPLONA,INGENIERIA MECATRONICA,NORTE SANTANDER,194.0,133.33333333333334,189.66666666666666,158.0,194.66666666666666
UNIVERSIDAD DE PAMPLONA-PAMPLONA,INGENIERIA QUIMICA,NORTE SANTANDER,172.0,155.0,134.5,151.0,125.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,LICENCIATURA  PEDAGOGIA INFANTIL,NORTE SANTANDER,153.33333333333334,120.0,162.0,143.33333333333334,146.66666666666666
UNIVERSIDAD DE PAMPLONA-PAMPLONA,LICENCIATURA EN CIENCIAS SOCIALES Y DESARROLLO LOCAL,NORTE SANTANDER,85.0,91.0,113.0,122.0,128.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,"LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN EDUCACION FISICA, RECREACION Y DEPORTES",NORTE SANTANDER,133.25,128.25,127.75,138.5,133.75
UNIVERSIDAD DE PAMPLONA-PAMPLONA,LICENCIATURA EN LENGUA CASTELLANA Y COMUNICACION,NORTE SANTANDER,117.0,127.0,122.0,147.0,138.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,LICENCIATURA EN LENGUAS EXTRANJERAS: INGLES-FRANCES,NORTE SANTANDER,191.0,122.0,188.0,216.0,160.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,MEDICINA,NORTE SANTANDER,157.33333333333334,160.33333333333334,144.66666666666666,155.0,132.66666666666666
UNIVERSIDAD DE PAMPLONA-PAMPLONA,NUTRICION Y DIETETICA,NORTE SANTANDER,165.66666666666666,123.0,166.66666666666666,157.66666666666666,134.0
UNIVERSIDAD DE PAMPLONA-PAMPLONA,PSICOLOGIA,NORTE SANTANDER,124.5,101.75,145.25,144.25,150.75
UNIVERSIDAD DE PAMPLONA-PAMPLONA,ZOOTECNIA,NORTE SANTANDER,124.0,149.0,158.0,142.0,159.0
UNIVERSIDAD DE SAN BUENAVENTURA-BOGOTÁ D.C.,INGENIERÍA MULTIMEDIA,BOGOTÁ,158.0,100.5,163.5,158.0,149.5
UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA,INGENIERIA CIVIL,SANTANDER,119.0,177.0,138.0,133.0,115.0
UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA,MICROBIOLOGIA INDUSTRIAL,SANTANDER,149.0,178.0,148.0,157.0,147.0
UNIVERSIDAD DEL ATLANTICO-BARRANQUILLA,DERECHO,ATLANTICO,129.0,180.0,133.0,133.0,65.0
UNIVERSIDAD DEL QUINDIO-ARMENIA,CIENCIAS DE LA INFORMACION Y LA DOCUMENTACION,QUINDIO,167.5,165.5,167.5,190.5,177.5
"UNIVERSIDAD DISTRITAL""FRANCISCO JOSE DE CALDAS""-BOGOTÁ D.C.",ADMINISTRACION AMBIENTAL,BOGOTÁ,146.0,173.0,134.0,163.0,175.0
"UNIVERSIDAD DISTRITAL""FRANCISCO JOSE DE CALDAS""-BOGOTÁ D.C.",INGENIERÍA SANITARIA,BOGOTÁ,148.0,129.0,185.0,181.0,168.0
UNIVERSIDAD EAN-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,BOGOTÁ,173.0,173.0,194.0,133.0,158.0
UNIVERSIDAD EAN-BOGOTÁ D.C.,INGENIERIA DE PRODUCCION,BOGOTÁ,149.0,133.0,181.0,153.0,154.0
UNIVERSIDAD EAN-BOGOTÁ D.C.,LENGUAS MODERNAS,BOGOTÁ,127.5,153.5,192.5,252.0,176.5
UNIVERSIDAD EAN-BOGOTÁ D.C.,MERCADEO,BOGOTÁ,100.0,0.0,120.0,101.0,113.0
UNIVERSIDAD ECCI-BOGOTÁ D.C.,INGENIERIA AMBIENTAL,BOGOTÁ,146.0,124.0,117.0,148.0,143.0
UNIVERSIDAD ECCI-BOGOTÁ D.C.,INGENIERIA INDUSTRIAL,BOGOTÁ,136.0,125.0,117.0,132.0,116.0
UNIVERSIDAD ECCI-BOGOTÁ D.C.,INGENIERIA MECATRONICA,BOGOTÁ,155.0,141.0,183.0,192.0,161.0
UNIVERSIDAD ECCI-BOGOTÁ D.C.,PROFESIONAL EN GASTRONOMÍA,BOGOTÁ,186.0,160.0,300.0,185.0,198.0
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,BOGOTÁ,153.0,129.0,151.0,176.0,166.0
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,CONTADURIA PUBLICA,BOGOTÁ,179.5,157.5,152.5,181.5,161.0
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,DISEÑO INDUSTRIAL,BOGOTÁ,132.5,111.0,166.5,173.0,149.5
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,ESTADÍSTICA,BOGOTÁ,154.0,142.0,79.0,136.0,84.0
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,FORMACION MUSICAL,BOGOTÁ,189.0,94.0,155.0,161.0,161.0
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,INGENIERIA AMBIENTAL,BOGOTÁ,158.66666666666666,137.66666666666666,154.66666666666666,185.33333333333334,162.66666666666666
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,INGENIERIA DE SISTEMAS,BOGOTÁ,159.0,166.0,106.0,177.0,89.0
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,LICENCIATURA EN EDUCACIÓN INFANTIL,BOGOTÁ,146.0,110.0,123.0,149.0,116.0
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,MEDICINA,BOGOTÁ,181.0,160.5,160.5,209.0,166.0
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,OPTOMETRIA,BOGOTÁ,176.0,157.0,153.0,161.0,154.0
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,PSICOLOGIA,BOGOTÁ,138.0,151.5,170.0,179.5,172.5
UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,QU¿MICA FARMAC¿UTICA,BOGOTÁ,145.0,164.0,165.0,177.0,148.0
UNIVERSIDAD EXTERNADO DE COLOMBIA-BOGOTÁ D.C.,COMUNICACION SOCIAL- PERIODISMO,BOGOTÁ,131.5,125.0,160.5,177.5,169.5
UNIVERSIDAD EXTERNADO DE COLOMBIA-BOGOTÁ D.C.,CONTADURIA PUBLICA,BOGOTÁ,133.0,181.0,144.0,188.0,171.0
UNIVERSIDAD EXTERNADO DE COLOMBIA-BOGOTÁ D.C.,DERECHO,BOGOTÁ,143.66666666666666,176.33333333333334,147.33333333333334,150.33333333333334,121.33333333333333
UNIVERSIDAD EXTERNADO DE COLOMBIA-BOGOTÁ D.C.,FINANZAS Y RELACIONES INTERNACIONALES,BOGOTÁ,132.0,113.0,148.0,184.0,151.0
UNIVERSIDAD EXTERNADO DE COLOMBIA-BOGOTÁ D.C.,PSICOLOGIA,BOGOTÁ,154.0,168.0,158.0,159.0,173.0
UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-CUCUTA,ADMINISTRACION DE EMPRESAS,NORTE SANTANDER,158.0,97.0,131.0,146.0,106.0
UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-CUCUTA,INGENIERIA CIVIL,NORTE SANTANDER,136.0,146.0,103.0,115.0,115.0
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,DERECHO,SANTANDER,176.0,151.25,208.25,187.5,202.75
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,DISEÑO INDUSTRIAL,SANTANDER,185.0,168.0,180.0,183.0,174.0
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,HISTORIA Y ARCHIVISTICA,SANTANDER,148.0,133.0,185.0,199.0,212.0
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,INGENIERIA CIVIL,SANTANDER,200.25,155.5,168.75,172.5,164.25
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,INGENIERIA DE PETROLEOS,SANTANDER,187.0,140.0,193.0,179.0,174.0
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,INGENIERIA ELECTRICA,SANTANDER,185.2,125.6,165.8,164.6,153.6
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,INGENIERIA ELECTRONICA,SANTANDER,189.0,84.0,182.0,176.0,195.0
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,INGENIERIA FORESTAL,SANTANDER,142.0,129.0,131.0,136.0,146.0
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,INGENIERIA INDUSTRIAL,SANTANDER,178.66666666666666,141.16666666666666,164.16666666666666,157.83333333333334,140.33333333333334
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,INGENIERIA MECANICA,SANTANDER,184.0,132.6,153.6,162.2,132.8
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,INGENIERIA QUIMICA,SANTANDER,201.0,160.0,191.0,181.0,201.0
UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,ZOOTECNIA,SANTANDER,139.0,137.5,125.0,135.0,106.5
UNIVERSIDAD LA GRAN COLOMBIA-BOGOTÁ D.C.,ARQUITECTURA,BOGOTÁ,176.0,55.0,144.0,166.0,193.0
UNIVERSIDAD LA GRAN COLOMBIA-BOGOTÁ D.C.,DERECHO,BOGOTÁ,133.0,169.0,177.0,149.0,181.0
UNIVERSIDAD LA GRAN COLOMBIA-BOGOTÁ D.C.,INGENIERÍA CIVIL,BOGOTÁ,132.0,126.0,126.0,213.0,145.0
UNIVERSIDAD LIBRE-BOGOTÁ D.C.,DERECHO,BOGOTÁ,146.0,165.0,180.0,152.0,181.0
UNIVERSIDAD LIBRE-SOCORRO,DERECHO,SANTANDER,98.0,135.0,131.0,137.0,147.0
UNIVERSIDAD LIBRE-SOCORRO,INGENIERIA AMBIENTAL,SANTANDER,188.0,148.0,163.0,183.0,178.0
UNIVERSIDAD MANUELA BELTRAN-UMB--BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,BOGOTÁ,99.0,173.0,92.0,132.0,86.0
UNIVERSIDAD MANUELA BELTRAN-UMB--BOGOTÁ D.C.,FISIOTERAPIA,BOGOTÁ,178.0,168.0,184.0,164.0,206.0
UNIVERSIDAD MANUELA BELTRAN-UMB--BOGOTÁ D.C.,INGENIERIA BIOMEDICA,BOGOTÁ,162.0,170.0,150.5,163.5,154.5
"UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C.",ADMINISTRACION DE EMPRESAS,BOGOTÁ,150.5,105.0,141.0,146.5,132.5
"UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C.",ADMINISTRACION DE LA SEGURIDAD Y SALUD OCUPACIONAL,BOGOTÁ,155.0,149.5,136.0,150.0,166.0
"UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C.",CONTADURIA PUBLICA,BOGOTÁ,178.0,146.0,185.0,168.0,117.0
"UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C.",DERECHO,BOGOTÁ,170.33333333333334,173.0,178.66666666666666,182.66666666666666,196.66666666666666
"UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C.",ECONOMIA,BOGOTÁ,183.0,180.0,159.0,196.0,168.0
"UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C.",INGENIERIA CIVIL,BOGOTÁ,169.6,142.2,147.75,157.4,149.9
"UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C.",INGENIERIA INDUSTRIAL,BOGOTÁ,181.25,157.5,145.0,156.25,133.75
"UNIVERSIDAD MILITAR""NUEVA GRANADA""-BOGOTÁ D.C.",RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS,BOGOTÁ,167.0,157.66666666666666,194.66666666666666,220.0,189.66666666666666
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,BOGOTÁ,138.72340425531914,126.38297872340425,140.0,135.9787234042553,139.70212765957447
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,ADMINISTRACION EN SALUD,BOGOTÁ,139.0,144.75,129.25,126.0,141.5
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,AGRONOMIA,BOGOTÁ,159.0,138.5,141.5,130.75,156.0
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,ARTES VISUALES,BOGOTÁ,181.0,144.0,179.0,180.0,170.0
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,COMUNICACION SOCIAL,BOGOTÁ,119.5,136.4,142.9,153.3,135.8
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,CONTADURIA PÚBLICA,BOGOTÁ,141.5,105.75,130.25,141.5,119.0
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,DISEÑO INDUSTRIAL,BOGOTÁ,161.0,0.0,131.0,145.0,106.0
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,FILOSOFIA,BOGOTÁ,139.0,161.0,130.5,123.0,122.0
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,INGENIERIA DE ALIMENTOS,BOGOTÁ,139.0,128.11111111111111,140.22222222222223,122.88888888888889,131.22222222222223
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,INGENIERIA DE SISTEMAS,BOGOTÁ,154.54545454545453,139.8181818181818,151.45454545454547,149.77272727272728,143.54545454545453
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,INGENIERIA DE TELECOMUNICACIONES,BOGOTÁ,152.28571428571428,142.07142857142858,149.5,150.42857142857142,141.28571428571428
