institucion,programa,departamento,MOD_RAZONA_CUANTITAT_PUNT,MOD_COMUNI_ESCRITA_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_INGLES_PUNT,MOD_COMPETEN_CIUDADA_PUNT
"ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C.",INGENIERIA BIOMEDICA,BOGOTÁ,136.0,185.0,186.0,146.0,172.0
"ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C.",INGENIERIA CIVIL,BOGOTÁ,188.0,123.2,167.6,168.4,185.2
"ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C.",INGENIERIA ELECTRICA,BOGOTÁ,163.5,131.5,145.5,160.0,134.0
"ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C.",INGENIERIA ELECTRONICA,BOGOTÁ,164.0,97.0,165.0,171.0,158.0
"ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C.",INGENIERIA INDUSTRIAL,BOGOTÁ,172.0,0.0,126.0,170.0,125.0
"ESCUELA COLOMBIANA DE INGENIERIA""JULIO GARAVITO""-BOGOTÁ D.C.",INGENIERÍA MECÁNICA,BOGOTÁ,199.66666666666666,134.66666666666666,165.33333333333334,178.33333333333334,150.33333333333334
ESCUELA DE INGENIEROS MILITARES-BOGOTÁ D.C.,INGENIERIA CIVIL,BOGOTÁ,149.63636363636363,119.45454545454545,124.36363636363636,137.0,127.9090909090909
"ESCUELA MILITAR DE CADETES ""GENERAL JOSE MARIA CORDOVA""-BOGOTÁ D.C.",CIENCIAS MILITARES,BOGOTÁ,138.55555555555554,122.0,128.22222222222223,132.55555555555554,113.44444444444444
"ESCUELA NAVAL DE CADETES""ALMIRANTE PADILLA""-CARTAGENA",CIENCIAS NAVALES PARA OFICIALES NAVALES,BOLIVAR,157.0,193.0,137.0,162.0,106.0
"ESCUELA NAVAL DE CADETES""ALMIRANTE PADILLA""-CARTAGENA",OCEANOGRAFIA FISICA,BOLIVAR,151.0,137.0,153.0,154.0,129.0
ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-BOGOTÁ D.C.,ADMINISTRACION PUBLICA TERRITORIAL,BOGOTÁ,134.7594936708861,135.68354430379748,140.0759493670886,128.58227848101265,142.37974683544303
FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS.,BOGOTÁ,134.0,66.5,109.0,67.5,111.0
FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-BOGOTÁ D.C.,CONTADURÍA PÚBLICA,BOGOTÁ,172.0,0.0,149.0,156.0,173.0
FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-BOGOTÁ D.C.,DISEÑO DE MODAS,BOGOTÁ,141.0,130.0,129.0,135.0,114.0
FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-BOGOTÁ D.C.,INGENIERÍA INDUSTRIAL,BOGOTÁ,140.5,115.0,140.9090909090909,147.86363636363637,140.27272727272728
FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-BOGOTÁ D.C.,PROFESIONAL EN ADMINISTRACIÓN DE EMPRESAS,BOGOTÁ,122.0,137.0,135.5,139.5,149.5
FUNDACION DE EDUCACION SUPERIOR SAN JOSE -FESSANJOSE-BOGOTÁ D.C.,PROFESIONAL EN INGENIERIA INDUSTRIAL,BOGOTÁ,131.5,128.25,130.25,128.75,123.5
"FUNDACION PARA LA EDUCACION SUPERIOR SAN MATEO ""FUNDACION SAN MATEO""-BOGOTÁ D.C.",INGENIERIA EN SEGURIDAD Y SALUD PARA EL TRABAJO,BOGOTÁ,158.0,149.0,164.0,163.0,179.0
"FUNDACION PARA LA EDUCACION SUPERIOR SAN MATEO ""FUNDACION SAN MATEO""-BOGOTÁ D.C.",INGENIERIA INDUSTRIAL,BOGOTÁ,130.0,168.0,147.0,164.0,158.0
"FUNDACION PARA LA EDUCACION SUPERIOR SAN MATEO ""FUNDACION SAN MATEO""-BOGOTÁ D.C.",INGENIERÍA EN SEGURIDAD Y SALUD PARA EL TRABAJO,BOGOTÁ,178.0,181.0,166.0,160.0,182.0
FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC--BOGOTÁ D.C.,DERECHO,BOGOTÁ,147.0,157.33333333333334,161.66666666666666,157.0,177.0
FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC--BOGOTÁ D.C.,INGENIERIA ELECTROMECANICA,BOGOTÁ,162.0,0.0,149.0,135.0,166.0
FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC--BOGOTÁ D.C.,RELACIONES ECONOMICAS INTERNACIONALES,BOGOTÁ,146.0,90.0,98.0,184.0,112.0
FUNDACION UNIVERSIDAD DE AMERICA-BOGOTÁ D.C.,INGENIERIA DE PETROLEOS,BOGOTÁ,203.0,113.0,160.0,185.0,162.0
FUNDACION UNIVERSIDAD DE AMERICA-BOGOTÁ D.C.,INGENIERIA QUIMICA,BOGOTÁ,161.0,141.75,170.25,178.0,148.5
"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",ARQUITECTURA,BOGOTÁ,164.5,166.0,169.5,169.5,163.5
"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",CIENCIA POLÍTICA Y GOBIERNO,BOGOTÁ,159.0,91.0,172.0,199.0,172.0
"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",COMUNICACION SOCIAL -  PERIODISMO,BOGOTÁ,154.0,125.5,179.0,177.0,160.5
"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",DERECHO,BOGOTÁ,162.0,122.0,178.0,145.0,192.0
"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",DISEÑO GRAFICO,BOGOTÁ,196.0,163.0,186.0,182.0,188.0
"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",INGENIERIA QUIMICA,BOGOTÁ,223.0,103.0,154.0,181.0,150.0
"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",MERCADEO,BOGOTÁ,151.0,98.0,111.0,171.0,165.0
"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",PUBLICIDAD,BOGOTÁ,137.0,114.0,148.0,173.0,141.0
FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-BOGOTÁ D.C.,INGENIERIA CIVIL,BOGOTÁ,161.0,150.5,130.5,155.0,155.0
FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-BOGOTÁ D.C.,MEDICINA VETERINARIA,BOGOTÁ,189.0,152.0,141.0,135.0,147.0
FUNDACION UNIVERSITARIA CATOLICA DEL NORTE-SANTA ROSA DE OSOS,LICENCIATURA EN FILOSOFIA Y EDUCACION RELIGIOSA,ANTIOQUIA,128.0,,131.0,147.0,154.0
FUNDACION UNIVERSITARIA CATOLICA DEL NORTE-SANTA ROSA DE OSOS,TRABAJO SOCIAL,ANTIOQUIA,131.0,170.0,132.0,165.0,143.0
FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD-BOGOTÁ D.C.,MEDICINA,BOGOTÁ,168.0,0.0,150.0,164.0,166.0
FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD-BOGOTÁ D.C.,PSICOLOGÍA,BOGOTÁ,121.0,129.0,144.0,160.0,145.0
FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -SAN GIL,INGENIERIA AMBIENTAL,SANTANDER,169.0,149.0,155.0,127.0,124.0
FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,ADMINISTRACIÓN DE EMPRESAS,BOGOTÁ,148.77777777777777,142.22222222222223,154.22222222222223,136.44444444444446,150.33333333333334
FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,ENFERMERIA,BOGOTÁ,158.0,139.0,157.0,146.0,168.0
FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,INGENIERIA DE MINAS,BOGOTÁ,143.25,126.125,135.41666666666666,138.70833333333334,136.95833333333334
FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,INGENIERIA DE SISTEMAS,BOGOTÁ,151.0,127.0,153.0,160.0,131.0
FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,INGENIERÍA GEOLÓGICA,BOGOTÁ,157.0,180.0,171.0,165.0,154.0
FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,LICENCIATURA EN CIENCIAS SOCIALES,BOGOTÁ,145.0,176.0,159.0,140.0,148.0
FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,LICENCIATURA EN PEDAGOGÍA INFANTIL,BOGOTÁ,140.0,138.0,114.0,138.0,109.0
FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,PROFESIONAL EN ENTRENAMIENTO DEPORTIVO,BOGOTÁ,137.0,106.0,133.0,138.0,134.0
FUNDACION UNIVERSITARIA DEL AREA ANDINA-BOGOTÁ D.C.,PSICOLOGÍA,BOGOTÁ,119.0,96.0,151.0,132.0,161.0
FUNDACION UNIVERSITARIA EMPRESARIAL DE LA CAMARA DE COMERCIO DE Bogotá -BOGOTÁ D.C.,INGENIERIA DE SOFTWARE,BOGOTÁ,196.0,167.0,185.0,219.0,191.0
FUNDACION UNIVERSITARIA HORIZONTE-BOGOTÁ D.C.,INGENIERIA EN SEGURIDAD INDUSTRIAL E HIGIENE OCUPACIONAL,BOGOTÁ,135.28571428571428,126.57142857142857,131.57142857142858,137.71428571428572,127.71428571428571
FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,CONTADURIA PUBLICA,BOYACA,163.0,173.0,146.0,150.0,165.0
FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,DERECHO,BOYACA,134.0,172.5,154.0,128.0,127.0
FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,INGENIERIA DE SISTEMAS,BOYACA,90.0,135.0,101.0,125.0,94.0
FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,INGENIERÍA CIVIL,BOYACA,136.0,118.33333333333333,122.33333333333333,118.66666666666667,133.0
FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,"LICENCIATURA EN EDUCACION FISICA, RECREACION Y DEPORTES",BOYACA,127.9,131.9,131.5,146.7,115.5
FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,MEDICINA VETERINARIA,BOYACA,149.0,130.33333333333334,132.0,156.33333333333334,138.33333333333334
FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS-TUNJA,MÚSICA,BOYACA,160.0,103.0,161.0,132.0,155.0
