ano_grado,area,graduados
2018,Matemáticas y ciencias naturales,4202
2018,"Agronomía, veterinaria y afines",3154
2019,"Economía, administración, contaduría y afines",110402
2019,"Ingeniería, arquitectura, urbanismo y afines",67673
2019,Ciencias sociales y humanas,33023
2019,Ciencias de la educación,26237
2019,Ciencias de la salud,17296
2019,Bellas artes,6069
2019,Matemáticas y ciencias naturales,4422
2019,"Agronomía, veterinaria y afines",3461
2020,"Economía, administración, contaduría y afines",100685
2020,"Ingeniería, arquitectura, urbanismo y afines",60574
2020,Ciencias sociales y humanas,34444
2020,Ciencias de la educación,23882
2020,Ciencias de la salud,16858
2020,Bellas artes,5218
2020,Matemáticas y ciencias naturales,4117
2020,"Agronomía, veterinaria y afines",2923
2021,"Economía, administración, contaduría y afines",122221
2021,"Ingeniería, arquitectura, urbanismo y afines",76395
2021,Ciencias sociales y humanas,42180
2021,Ciencias de la educación,27455
2021,Ciencias de la salud,18819
2021,Bellas artes,5959
2021,Matemáticas y ciencias naturales,4517
2021,"Agronomía, veterinaria y afines",3534
2021,Sin información,1503
2022,"Economía, administración, contaduría y afines",126771
2022,"Ingeniería, arquitectura, urbanismo y afines",77412
2022,Ciencias sociales y humanas,43665
2022,Ciencias de la educación,29932
2022,Ciencias de la salud,20840
2022,Sin información,7286
2022,Bellas artes,6683
2022,Matemáticas y ciencias naturales,4668
2022,"Agronomía, veterinaria y afines",3491
