ciiu,micronegocios,ano,ingreso_promedio
1,1157556.3934842527,2022,1941385.0
2,3993399.9031018903,2022,741858.0
1,1237313.0696717245,2023,2690265.0
2,3951089.3658530824,2023,869093.0
1,1185977.5029063115,2024,2583033.0
2,4111274.053341727,2024,990666.0
