ies,rango_modal,graduados_rango_modal,total_graduados
UNIVERSIDAD PEDAGOGICA NACIONAL,"Entre 2,5 y 4 SMMLV",4291,14514
CORPORACION UNIVERSITARIA IBEROAMERICANA,"Entre 1 y 1,5 SMMLV",4662,14497
UNIVERSIDAD DE CORDOBA,"Entre 1 y 1,5 SMMLV",3991,14343
ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-,"Entre 2,5 y 4 SMMLV",3300,13838
UNIVERSIDAD AUTONOMA DE OCCIDENTE,"Entre 1 y 1,5 SMMLV",3072,13564
UNIVERSIDAD CATOLICA DE MANIZALES,Entre 4 y 6 SMMLV,5375,13093
UNIVERSIDAD MANUELA BELTRAN-UMB-,"Entre 2,5 y 4 SMMLV",3474,12289
UNIVERSIDAD ICESI,Entre 4 y 6 SMMLV,2547,12203
UNIVERSIDAD DEL CAUCA,"Entre 2,5 y 4 SMMLV",3517,12176
UNIVERSIDAD DE MANIZALES,Entre 4 y 6 SMMLV,2934,12156
UNIVERSIDAD SURCOLOMBIANA,"Entre 2,5 y 4 SMMLV",2930,11928
CORPORACION UNIVERSITARIA DEL CARIBE - CECAR,"Entre 2,5 y 4 SMMLV",3517,11686
FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,"Entre 1 y 1,5 SMMLV",3745,11582
UNIVERSIDAD TECNOLOGICA DE BOLIVAR,"Entre 2,5 y 4 SMMLV",2560,11073
UNIVERSIDAD DE NARIÑO,"Entre 2,5 y 4 SMMLV",3038,11023
FUNDACION UNIVERSITARIA COMPENSAR,"Entre 1,5 y 2,5 SMMLV",3286,10903
UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,"Entre 2,5 y 4 SMMLV",3277,10387
UNIVERSIDAD TECNOLOGICA DEL CHOCO-DIEGO LUIS CORDOBA,"Entre 2,5 y 4 SMMLV",4663,10135
FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-,"Entre 2,5 y 4 SMMLV",2378,9745
UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -,"Entre 2,5 y 4 SMMLV",2380,9590
UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-,Entre 4 y 6 SMMLV,2446,9425
