ies,rango_modal,graduados_rango_modal,total_graduados
CORPORACION CENTRO DE ESTUDIOS ARTISTICOS Y TECNICOS-CEART-,"Entre 1 y 1,5 SMMLV",59,137
CORPORACION DE EDUCACION SUPERIOR SURAMERICA,"Entre 1 y 1,5 SMMLV",72,135
FUNDACION ESCUELA COLOMBIANA DE HOTELERIA Y TURISMO-ECOTET-,"Entre 1 y 1,5 SMMLV",41,118
"ESEIT - ESCUELA SUPERIOR DE EMPRESA, INGENIERIA Y TECNOLOGIA","Entre 2,5 y 4 SMMLV",37,117
POLITECNICO SANTAFE DE BOGOTA,"Entre 1 y 1,5 SMMLV",46,116
FUNDACION CENTRO UNIVERSITARIO DE BIENESTAR RURAL,"Entre 2,5 y 4 SMMLV",48,114
CORPORACION REGIONAL DE EDUCACION SUPERIOR-CRES-DE CALI,"Entre 1 y 1,5 SMMLV",62,113
UNION AMERICANA DE EDUCACION SUPERIOR- UNION AMERICANA,"Entre 1 y 1,5 SMMLV",47,112
POLITECNICO ICAFT,"Entre 1 y 1,5 SMMLV",44,109
ESCUELA INTERNACIONAL DE ESTUDIOS SUPERIORES - INTER,"Entre 1 y 1,5 SMMLV",59,98
UNIVERSIDAD AUTONOMA INDIGENA INTERCULTURAL - UAIIN,"Entre 1,5 y 2,5 SMMLV",67,87
FUNDACION DE EDUCACION SUPERIOR ESATEC,"Entre 1 y 1,5 SMMLV",39,85
CORPORACION UNIVERSITARIA PARA EL DESARROLLO EMPRESARIAL Y SOCIAL - MISION PAZ ,"Entre 1 y 1,5 SMMLV",45,83
CORPORACION BOLIVARIANA DE EDUCACION SUPERIOR - CORBES -,"Entre 1 y 1,5 SMMLV",48,68
FUNDACION UNIVERSITARIA LUIS G PAEZ - UNIPAEZ,"Entre 2,5 y 4 SMMLV",16,67
FUNDACION UNIVERSITARIA CIEO - UNICIEO,"Entre 1 y 1,5 SMMLV",19,64
INSTITUCION DE EDUCACION TECNOLOGICA INTERNACIONAL - UNIVERSAE,"Entre 1 y 1,5 SMMLV",31,63
CORPORACION TECNOLOGICA DE EDUCACION SUPERIOR SAPIENZA -CTE-,"Entre 1 y 1,5 SMMLV",23,58
CORPORACION TECNOLOGICO SUPERIOR,Entre 4 y 6 SMMLV,7,26
FUNDACION UNIVERSITARIA CATOLICA DEL SUR - UNICATOLICA DEL SUR,"Entre 1 y 1,5 SMMLV",15,23
FUNDACION UNIVERSITARIA COMFENALCO SANTANDER,"Entre 1,5 y 2,5 SMMLV",10,18
"ESCUELA SUPERIOR DE OFTALMOLOGIA, INSTITUTO BARRAQUER DE AMERICA",Más de 9 SMMLV,6,13
UNIDAD TECNOLOGICA DEL MAGDALENA MEDIO - UTEM -,"Entre 1,5 y 2,5 SMMLV",3,7
CORPORACION TECNOLOGICO COPACABANA - TECO -,"Entre 1 y 1,5 SMMLV",2,5
CORPORACION UNIVERSITARIA AUTONOMA DEL NORTE,"Entre 2,5 y 4 SMMLV",2,3
CORPORACION TECNOLOGICA SUPERIOR SIGLO XXI,1 SMMLV,1,1
