OFICIO_C8,salario_promedio,salario_mediano,empleo_total,ocupados_muestra,periodo
5244,1488704.0,1600000.0,64288.57918604499,63.0,2026-04
5245,1916208.0,1750905.0,26107.706281428,46.0,2026-04
5246,924712.0,1000000.0,67151.30990576501,98.0,2026-04
5249,1627556.0,1900000.0,11227.954422925,21.0,2026-04
5311,1116450.0,990000.0,196911.36083333098,180.0,2026-04
5312,1581982.0,1750905.0,17056.062747193002,35.0,2026-04
5321,2181936.0,2000000.0,167182.890684878,186.0,2026-04
5322,1293285.0,1400000.0,85259.52181754,107.0,2026-04
5329,2032294.0,2000000.0,167476.66708652597,257.0,2026-04
5411,2405765.0,2157500.0,2519.7737862269996,8.0,2026-04
5412,3291332.0,3100000.0,89530.924441791,164.0,2026-04
5413,3357226.0,3600000.0,24460.359667439,22.0,2026-04
5414,2262704.0,2000000.0,436898.66909606697,553.0,2026-04
5419,2026658.0,2090000.0,10321.566422973001,18.0,2026-04
6111,957992.0,800000.0,244867.98016097702,168.0,2026-04
6112,1019486.0,900000.0,312118.43147095793,237.0,2026-04
6113,1129996.0,1400000.0,123093.47254813,126.0,2026-04
6114,826338.0,640000.0,21450.835368779997,12.0,2026-04
6121,1486606.0,1000000.0,217575.69128618998,156.0,2026-04
6122,757534.0,435000.0,59762.890253145,48.0,2026-04
6123,1367259.0,1700000.0,1617.0740889800002,2.0,2026-04
6129,265592.0,265000.0,1759.47721101,2.0,2026-04
6130,2125645.0,2200000.0,13516.85156224,11.0,2026-04
6210,1463470.0,1500000.0,30243.589675862,29.0,2026-04
6221,1593127.0,1800000.0,12598.64559552,7.0,2026-04
6222,669375.0,610000.0,111875.06584624299,98.0,2026-04
6223,776169.0,1000000.0,12664.552460104,24.0,2026-04
6224,360000.0,360000.0,882.33817784,1.0,2026-04
7111,1737285.0,1750905.0,73471.61785971001,97.0,2026-04
7112,1776720.0,1600000.0,213324.342258413,240.0,2026-04
7113,1500000.0,1500000.0,3308.4488904,1.0,2026-04
7114,650000.0,650000.0,2025.2732844,2.0,2026-04
7115,1577755.0,1500000.0,45143.58982486399,65.0,2026-04
7119,1818906.0,1800000.0,6916.127039182,9.0,2026-04
7121,2147895.0,2500000.0,4463.11234343,7.0,2026-04
7122,1688496.0,1750597.0,8575.31274885,14.0,2026-04
7123,1776902.0,1600000.0,27049.543933597,35.0,2026-04
7125,1537683.0,1750000.0,6130.182861261999,13.0,2026-04
7126,1930301.0,1750905.0,64367.766032691005,91.0,2026-04
7127,3070906.0,1750000.0,22179.038930679002,27.0,2026-04
7131,1641301.0,1510000.0,67905.36050875,84.0,2026-04
7132,1662558.0,1750000.0,40464.533695640006,59.0,2026-04
7211,1952197.0,1900000.0,964.15894379,2.0,2026-04
7212,1958887.0,1750905.0,154593.02669776202,180.0,2026-04
7213,587686.0,1000000.0,10320.531039365002,10.0,2026-04
7214,2000000.0,2000000.0,1838.6877852,1.0,2026-04
7215,3711548.0,2000000.0,2748.5924298600003,4.0,2026-04
7221,1705087.0,1750000.0,40335.85475845399,61.0,2026-04
7222,1105367.0,1300000.0,10075.665419793,18.0,2026-04
7223,2359510.0,1750905.0,11574.473954124,16.0,2026-04
7231,1579653.0,1700000.0,272805.56908690603,380.0,2026-04
7232,4342327.0,4300000.0,888.51523054,4.0,2026-04
7233,2297241.0,2000000.0,56776.97055852399,65.0,2026-04
7234,931087.0,1500000.0,9940.464526887,10.0,2026-04
7311,1416980.0,1500000.0,1072.480448635,5.0,2026-04
7312,1343778.0,1500000.0,1440.4031446699998,4.0,2026-04
7314,1135530.0,1330000.0,11667.744205398,16.0,2026-04
7315,1579035.0,1500000.0,4488.8474241799995,5.0,2026-04
7316,1454195.0,1200000.0,9136.32971386,7.0,2026-04
7321,1937168.0,1750905.0,6427.104441289999,10.0,2026-04
7322,1776021.0,1750450.0,10789.2724161,16.0,2026-04
7323,1692352.0,1750000.0,3335.8869153200003,5.0,2026-04
7331,357661.0,300000.0,56075.91907109601,47.0,2026-04
7332,420938.0,240000.0,63174.013726510995,67.0,2026-04
7333,284943.0,175000.0,5379.451355602,8.0,2026-04
7341,175645.0,200000.0,27452.909608882997,21.0,2026-04
7342,183806.0,400000.0,5682.37079057,5.0,2026-04
7351,725853.0,1000000.0,3932.696536541,9.0,2026-04
7352,2000000.0,2000000.0,870.08971813,1.0,2026-04
7361,1848784.0,1775452.0,15171.44928918,12.0,2026-04
7363,1164973.0,400000.0,11873.28373295,6.0,2026-04
7370,1134048.0,800000.0,4171.36081066,5.0,2026-04
7399,585034.0,600000.0,33139.423186378,43.0,2026-04
7411,2181164.0,1800000.0,109260.82905606799,155.0,2026-04
7412,1296745.0,1300000.0,67030.274050501,93.0,2026-04
7413,2410000.0,2410000.0,602.77892571,1.0,2026-04
7421,1222704.0,1625452.0,21782.112545899996,18.0,2026-04
7422,1708189.0,1750000.0,67503.233312658,62.0,2026-04
7511,1746783.0,1750905.0,62437.10007493,73.0,2026-04
7512,1195683.0,1200000.0,132199.20319851898,167.0,2026-04
7513,1036572.0,620000.0,8996.559163669,14.0,2026-04
7514,507530.0,400000.0,58063.800113647,80.0,2026-04
7515,1525887.0,2000000.0,8630.96074446,8.0,2026-04
7516,760000.0,760000.0,2267.0297273,1.0,2026-04
7521,1600000.0,1600000.0,4035.4074294,1.0,2026-04
7522,1669403.0,1500000.0,78544.53055823602,109.0,2026-04
7523,297563.0,1750905.0,5477.17017736,3.0,2026-04
7531,853703.0,570000.0,135250.40319568902,196.0,2026-04
7532,1764179.0,1750902.0,16617.588810219997,14.0,2026-04
7533,987933.0,450000.0,23836.699226607,44.0,2026-04
7534,1600449.0,1500000.0,22418.673473229996,34.0,2026-04
7536,1367186.0,1200000.0,51511.58229150199,63.0,2026-04
7541,2290000.0,2290000.0,266.50183745,1.0,2026-04
7543,1832746.0,1911452.0,17313.16900188,12.0,2026-04
7544,1317619.0,1500000.0,75673.50879138801,61.0,2026-04
8111,1412275.0,1400000.0,68352.72242747998,38.0,2026-04
8112,1925429.0,2000000.0,1207.1412173899998,3.0,2026-04
8113,2542274.0,2200000.0,10097.93802792,7.0,2026-04
8114,1338684.0,1750000.0,10436.758445121,9.0,2026-04
8121,4525690.0,1750905.0,12672.469838109999,5.0,2026-04
8122,2173886.0,2500000.0,3353.9976404400004,4.0,2026-04
8131,2020508.0,1750902.0,26438.35372269,18.0,2026-04
8142,2261689.0,2000000.0,91466.21833153999,57.0,2026-04
8143,2250379.0,2100000.0,9566.499909420001,7.0,2026-04
8151,1779010.0,1875000.0,4425.61274985,2.0,2026-04
8152,1319194.0,1325000.0,9859.277193465,10.0,2026-04
8153,1639947.0,1600000.0,245304.352490072,186.0,2026-04
8154,1808174.0,1475452.0,10118.097165809999,6.0,2026-04
8156,1153795.0,1250000.0,11322.791649479,18.0,2026-04
8157,1862723.0,1750905.0,5790.24278411,5.0,2026-04
8159,1931509.0,1875000.0,1369.90451159,2.0,2026-04
8160,1660393.0,1750905.0,52393.796780954006,62.0,2026-04
8172,1532281.0,1600000.0,1742.0388160100001,5.0,2026-04
8181,1616158.0,1500000.0,14464.16414692,9.0,2026-04
8182,1750905.0,1750905.0,584.14841079,1.0,2026-04
8183,1970526.0,2000000.0,13896.56813362,9.0,2026-04
8189,1955455.0,1750905.0,1964.71614436,3.0,2026-04
8211,2223698.0,1875475.0,5325.72246856,8.0,2026-04
8212,2001491.0,2000000.0,10956.85056621,8.0,2026-04
8219,2200000.0,2200000.0,1318.8515616,1.0,2026-04
8312,2076713.0,2000000.0,8720.20527092,3.0,2026-04
8321,1252399.0,1000000.0,550404.601364876,894.0,2026-04
8323,1827626.0,1750905.0,290173.8421958779,391.0,2026-04
8324,1657132.0,1500000.0,135010.998524675,221.0,2026-04
8331,2303138.0,1750905.0,93453.02905511501,115.0,2026-04
8332,2564197.0,1900000.0,272617.547343702,345.0,2026-04
8341,1854553.0,1900000.0,14699.51906232,13.0,2026-04
8342,2446886.0,2000000.0,33626.605061231,29.0,2026-04
8343,2214822.0,2000000.0,6119.940607875999,9.0,2026-04
8344,2145145.0,2000000.0,33300.901210892,31.0,2026-04
8350,1213415.0,1080000.0,9741.111176502,13.0,2026-04
9111,1071471.0,800000.0,974203.4741220109,1368.0,2026-04
9112,1602588.0,1750000.0,493655.394007062,600.0,2026-04
9121,782787.0,525000.0,37494.51823694,58.0,2026-04
9122,1197238.0,1000000.0,51118.183089841004,58.0,2026-04
9123,3500000.0,3500000.0,204.6354827,1.0,2026-04
9129,1453128.0,1750000.0,28528.994556194993,23.0,2026-04
9211,1075785.0,1000000.0,1200111.972877474,949.0,2026-04
9212,1430397.0,1300000.0,199715.933598374,155.0,2026-04
9213,1242345.0,1200000.0,91179.46275043799,74.0,2026-04
9214,1400804.0,1400000.0,54094.79530319301,55.0,2026-04
9215,620161.0,645000.0,4935.68679853,4.0,2026-04
9216,1750000.0,1750000.0,2721.6049044,1.0,2026-04
9311,4232852.0,1500000.0,107832.289470016,62.0,2026-04
9312,2005833.0,1845000.0,30628.987893269004,22.0,2026-04
9313,1400293.0,1400000.0,743310.623519802,890.0,2026-04
