uri,nombre,definicion,tipo_habilidad,nivel_reutilizacion
http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,política ambiental,"Políticas locales, nacionales e internacionales relacionadas con la promoción de la sostenibilidad ambiental y el desarrollo de proyectos que reduzcan el impacto ambiental negativo y mejoren el estado del medio ambiente.",knowledge,cross-sector
http://data.europa.eu/esco/skill/085c8851-2354-44ae-98de-367bdde8bf58,comunicarse con plantas de tratamiento de basura,Comunicarse con plantas que se ocupan del tratamiento de los residuos peligrosos o no peligrosos para garantizar una cooperación eficaz en la organización de los procedimientos de tratamiento de residuos.,skill/competence,occupation-specific
http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,garantizar el cumplimiento de la legislación ambiental,"Realizar un seguimiento de las actividades y llevar a cabo tareas que garanticen el cumplimiento de las normas relativas a la protección y la sostenibilidad ambiental, así como modificar las actividades en caso de que se produzcan cambios en la legislación ambiental. Garantizar que los procesos se ajusten a la normativa ambiental y a las mejores prácticas.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/08a5f6dd-d3dd-4371-9919-6d730f34499c,instalar paneles fotovoltaicos,Instalar de forma segura paneles fotovoltaicos utilizando un sistema de montaje establecido y con la posición e inclinación determinadas.,skill/competence,occupation-specific
http://data.europa.eu/esco/skill/09473fea-69ea-40dc-9ff4-bbaaff10840e,realizar auditorías energéticas de instalaciones,"Recabar información estructural, eléctrica y conexa sobre las instalaciones mediante la realización de auditorías de las instalaciones de ingeniería. Estas se utilizan para diseñar soluciones de ingeniería como sistemas de energía solar.",skill/competence,cross-sector
http://data.europa.eu/esco/skill/09c28e46-712a-4c11-a4ae-67ae554ea940,asesorar sobre la reducción del uso de sustancias químicas,"Prestar asesoramiento para reducir el uso de sustancias químicas como los plaguicidas, así como las emisiones de diversas sustancias químicas para limitar sus repercusiones en el medio ambiente y reducir su riesgo para las personas. Mantenerse al día de la reglamentación y las políticas en este campo.
	",skill/competence,cross-sector
http://data.europa.eu/esco/skill/0aabb61b-5382-490a-bf44-375858f9cd3e,tipos de generadores de corrientes de marea,"Diversos tipos de generadores, como turbinas de flujo transversal, turbinas de flujo aumentado, dispositivos de efecto Venturi o turbinas de cometas submarinas. Se utilizan para extraer energía de corrientes de agua, tanto en ríos y estuarios, utilizando el rango de marea, como en corrientes submarinas marítimas.
	",knowledge,sector-specific
http://data.europa.eu/esco/skill/0ad6d5e8-593f-4191-843c-439b23a468ca,realizar balances energéticos,Analizar y evaluar el consumo de energía de forma sistemática para mejorar la eficiencia energética.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/0b3ae8c1-771e-4483-b3da-fd420fe6545b,mantener la composición del agua,Hacer todo lo posible por no alterar innecesariamente la composición del agua a la hora de retirar los componentes no deseados.,skill/competence,occupation-specific
http://data.europa.eu/esco/skill/0b4f100c-813d-4eec-8aa5-4227bb98c635,requisitos legales del ámbito marítimo,"Convenios de la Organización Marítima Internacional (OMI) sobre la seguridad de la vida humana en el mar, la seguridad y la protección del medio marino.",knowledge,sector-specific
http://data.europa.eu/esco/skill/0bca9840-478a-40fd-a6c3-c8cc923add98,desarrollar planes de gestión,"Desarrollar planes de gestión para mantener la pesca y el hábitat, o para recuperarlos cuando sea necesario.",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0cf3117a-c627-48e0-8d55-65b0f4557ae5,aplicar técnicas de labranza sostenibles,"Aplicar técnicas de labranza sostenibles, como el laboreo de conservación o la agricultura sin labranza, con el fin de minimizar los efectos en el suelo.
   ",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0d0fe364-462d-48dd-b54b-e972e2bdecb1,tipos de materiales aislantes,"Diversos tipos de material aislante y sus usos prácticos, ventajas, riesgos y costes.",knowledge,cross-sector
http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,adoptar vías para reducir la contaminación,"Adoptar medidas destinadas a reducir la contaminación atmosférica, acústica, lumínica, hídrica o ambiental, como utilizar el transporte público, no dejar residuos en el entorno natural y reducir las emisiones lumínicas y acústicas innecesarias, en especial durante la noche.
  ",skill/competence,transversal
http://data.europa.eu/esco/skill/0e0b8991-4b24-4bb8-9113-df3ce43c1ff9,asesorar sobre el impacto ambiental de proyectos mineros,"Asesorar a ingenieros, topógrafos y personal geotécnico y metalúrgico sobre la protección del medio ambiente y la rehabilitación del terreno en relación con actividades mineras.
	",skill/competence,sector-specific
http://data.europa.eu/esco/skill/0e628dde-8d1b-4a1d-b973-a349fe1725c8,realizar controles de sedimentos,Gestionar los procesos y proyectos de control de sedimentos. Planificar acciones de control de sedimentos para evitar que los suelos erosionados contaminen vías fluviales próximas.,skill/competence,sector-specific
http://data.europa.eu/esco/skill/0e78d9c9-7c3c-4c5c-82cb-205c16edbcb8,tecnologías verdes,"La utilización de sistemas TIC de una manera ambientalmente responsable y sostenible, como la implementación de servidores y unidades centrales de procesamiento (CPU) energéticamente eficientes, la reducción de recursos y la eliminación correcta de los desechos electrónicos.",knowledge,occupation-specific
http://data.europa.eu/esco/skill/0e81fcff-2fb5-4c87-afc2-49b5e5d9db50,explotar plantas de biogás,"Manejar equipos que tratan los cultivos energéticos y los residuos de las explotaciones, denominados digestores anaerobios. Garantizar que el equipo funcione correctamente en la transformación de la biomasa en biogás, que se utiliza para la generación de calor y electricidad.",skill/competence,occupation-specific
http://data.europa.eu/esco/skill/0f4cc60e-820e-439d-8810-31a2cc27ada6,utilizar equipos para la desinfección del agua,"Manejar equipos para la desinfección del agua, utilizando diferentes métodos y técnicas, como la filtración mecánica, en función de las necesidades.",skill/competence,sector-specific
