dpto,rama_ciiu,empleo,periodo,ano,mes
8,81,27046.032450111,2022-02,2022,2
8,82,20392.53518453,2022-02,2022,2
8,84,25963.814871270002,2022-02,2022,2
8,85,53796.71569446,2022-02,2022,2
8,86,43666.11930298,2022-02,2022,2
8,87,1107.00007643,2022-02,2022,2
8,88,5919.58339498,2022-02,2022,2
8,90,2747.82560912,2022-02,2022,2
8,92,534.47187923,2022-02,2022,2
8,93,2781.12151678,2022-02,2022,2
8,94,5226.38482897,2022-02,2022,2
8,95,21289.57351413,2022-02,2022,2
8,96,37359.794862162,2022-02,2022,2
8,97,49361.52889654,2022-02,2022,2
11,0,5683.1675474,2022-02,2022,2
11,1,27028.3423728,2022-02,2022,2
11,6,8600.5346728,2022-02,2022,2
11,9,2338.79512,2022-02,2022,2
11,10,61315.35608793,2022-02,2022,2
11,11,7932.8363381,2022-02,2022,2
11,13,10598.1436354,2022-02,2022,2
11,14,66849.3086152,2022-02,2022,2
11,15,16462.8839464,2022-02,2022,2
11,16,3391.2429269,2022-02,2022,2
11,17,3917.2736697,2022-02,2022,2
11,18,11531.7928577,2022-02,2022,2
11,20,13251.4290334,2022-02,2022,2
11,21,22043.42198547,2022-02,2022,2
11,22,26851.648072699998,2022-02,2022,2
11,23,10805.517284,2022-02,2022,2
11,25,25411.2269994,2022-02,2022,2
11,26,3603.9460533,2022-02,2022,2
11,27,21298.878969999998,2022-02,2022,2
11,28,7252.6216492,2022-02,2022,2
11,29,3503.7793196,2022-02,2022,2
11,31,41510.5155437,2022-02,2022,2
11,32,13012.8065617,2022-02,2022,2
11,33,17623.5281564,2022-02,2022,2
11,35,13559.8528032,2022-02,2022,2
11,37,4826.4798057,2022-02,2022,2
11,38,36333.265801199996,2022-02,2022,2
11,41,94544.85833701,2022-02,2022,2
11,42,11972.7726197,2022-02,2022,2
11,43,78195.8392641,2022-02,2022,2
11,45,157570.1395226,2022-02,2022,2
11,46,139083.6835053,2022-02,2022,2
11,47,437269.62753982,2022-02,2022,2
11,49,171193.8192965,2022-02,2022,2
11,50,4585.1138747,2022-02,2022,2
11,51,12830.5491158,2022-02,2022,2
11,52,47072.3924253,2022-02,2022,2
11,53,18012.45668681,2022-02,2022,2
11,55,11158.823789900001,2022-02,2022,2
11,56,204286.92398283,2022-02,2022,2
11,58,10301.8651001,2022-02,2022,2
11,59,9291.0270417,2022-02,2022,2
11,60,19525.234048,2022-02,2022,2
11,61,59353.1892027,2022-02,2022,2
11,62,86396.9521173,2022-02,2022,2
11,64,120622.9016759,2022-02,2022,2
11,65,44012.5320401,2022-02,2022,2
11,66,5085.6401945,2022-02,2022,2
11,68,69854.4628707,2022-02,2022,2
11,69,86164.6757475,2022-02,2022,2
11,70,40961.7405532,2022-02,2022,2
11,71,46266.05327487,2022-02,2022,2
11,72,4223.1698299,2022-02,2022,2
11,73,35776.8935757,2022-02,2022,2
11,74,26099.3705605,2022-02,2022,2
11,75,5731.3923433,2022-02,2022,2
11,77,10989.273216,2022-02,2022,2
11,78,35084.7154409,2022-02,2022,2
11,79,5836.069163599999,2022-02,2022,2
11,80,70163.9847954,2022-02,2022,2
11,81,95273.8996105,2022-02,2022,2
11,82,114238.43438559999,2022-02,2022,2
11,84,177797.6988309,2022-02,2022,2
11,85,192924.11166384,2022-02,2022,2
11,86,204424.8964187,2022-02,2022,2
11,87,5763.3636967,2022-02,2022,2
11,88,32351.3804104,2022-02,2022,2
11,90,7412.4823221,2022-02,2022,2
11,92,10256.8637158,2022-02,2022,2
11,93,12490.33628177,2022-02,2022,2
11,94,30694.5093348,2022-02,2022,2
11,95,49323.643898,2022-02,2022,2
11,96,74263.7284299,2022-02,2022,2
11,97,82110.3080286,2022-02,2022,2
11,99,7022.913380399999,2022-02,2022,2
13,0,327.66773948,2022-02,2022,2
13,1,133746.97470812,2022-02,2022,2
13,2,1306.5990655,2022-02,2022,2
13,3,5131.58779,2022-02,2022,2
13,6,1747.12595468,2022-02,2022,2
13,7,11858.2148934,2022-02,2022,2
13,10,6310.2191755799995,2022-02,2022,2
13,11,1083.69580316,2022-02,2022,2
13,13,595.34979948,2022-02,2022,2
13,14,6882.652511169999,2022-02,2022,2
13,16,3384.89456874,2022-02,2022,2
13,17,427.33292971000003,2022-02,2022,2
13,20,1489.89889486,2022-02,2022,2
13,22,2807.43653529,2022-02,2022,2
13,23,1560.13843262,2022-02,2022,2
13,24,441.09868431,2022-02,2022,2
13,25,8072.18715994,2022-02,2022,2
13,26,339.24583,2022-02,2022,2
13,28,445.79882847,2022-02,2022,2
13,29,460.70421358,2022-02,2022,2
13,30,937.92542916,2022-02,2022,2
13,31,2946.99230155,2022-02,2022,2
13,32,1411.45125314,2022-02,2022,2
13,33,1522.51599058,2022-02,2022,2
13,35,1162.06483965,2022-02,2022,2
13,36,654.82854434,2022-02,2022,2
13,38,5891.98623738,2022-02,2022,2
13,41,52884.63911939,2022-02,2022,2
13,42,21869.7540648,2022-02,2022,2
13,43,8103.45463171,2022-02,2022,2
13,45,18782.88241295,2022-02,2022,2
13,46,13908.90018242,2022-02,2022,2
13,47,136346.21269574,2022-02,2022,2
13,49,81009.73410448,2022-02,2022,2
13,52,27594.50933531,2022-02,2022,2
13,53,4965.82788961,2022-02,2022,2
13,55,12079.04457314,2022-02,2022,2
13,56,53690.47668852,2022-02,2022,2
13,60,1583.4263031,2022-02,2022,2
13,61,3058.65866353,2022-02,2022,2
13,62,392.71353121,2022-02,2022,2
13,63,297.72895154,2022-02,2022,2
